boundary,step,head_m,sample_z_m,expected_p_kPa,formula
UPSTREAM,S03_NORMAL_RESERVOIR_3076M,3076,3073.51147,24.4124793,"9.81*max(H-z,0)"
UPSTREAM,S03_NORMAL_RESERVOIR_3076M,3076,3059.16504,165.1509576,"9.81*max(H-z,0)"
UPSTREAM,S03_NORMAL_RESERVOIR_3076M,3076,3068.88354,69.8124726,"9.81*max(H-z,0)"
UPSTREAM,S03_NORMAL_RESERVOIR_3076M,3076,3068.88354,69.8124726,"9.81*max(H-z,0)"
UPSTREAM,S03_NORMAL_RESERVOIR_3076M,3076,3073.51147,24.4124793,"9.81*max(H-z,0)"
UPSTREAM,S04_DESIGN_FLOOD_3580CMS,3076,3073.51147,24.4124793,"9.81*max(H-z,0)"
UPSTREAM,S04_DESIGN_FLOOD_3580CMS,3076,3059.16504,165.1509576,"9.81*max(H-z,0)"
UPSTREAM,S04_DESIGN_FLOOD_3580CMS,3076,3068.88354,69.8124726,"9.81*max(H-z,0)"
UPSTREAM,S04_DESIGN_FLOOD_3580CMS,3076,3068.88354,69.8124726,"9.81*max(H-z,0)"
UPSTREAM,S04_DESIGN_FLOOD_3580CMS,3076,3073.51147,24.4124793,"9.81*max(H-z,0)"
UPSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3077.35,3073.51147,37.6559793,"9.81*max(H-z,0)"
UPSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3077.35,3059.16504,178.3944576,"9.81*max(H-z,0)"
UPSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3077.35,3068.88354,83.0559726,"9.81*max(H-z,0)"
UPSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3077.35,3068.88354,83.0559726,"9.81*max(H-z,0)"
UPSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3077.35,3073.51147,37.6559793,"9.81*max(H-z,0)"
UPSTREAM,S06_DRAWDOWN_TO_3074M,3074,3073.51147,4.7924793,"9.81*max(H-z,0)"
UPSTREAM,S06_DRAWDOWN_TO_3074M,3074,3059.16504,145.5309576,"9.81*max(H-z,0)"
UPSTREAM,S06_DRAWDOWN_TO_3074M,3074,3068.88354,50.1924726,"9.81*max(H-z,0)"
UPSTREAM,S06_DRAWDOWN_TO_3074M,3074,3068.88354,50.1924726,"9.81*max(H-z,0)"
UPSTREAM,S06_DRAWDOWN_TO_3074M,3074,3073.51147,4.7924793,"9.81*max(H-z,0)"
DOWNSTREAM,S03_NORMAL_RESERVOIR_3076M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S03_NORMAL_RESERVOIR_3076M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S03_NORMAL_RESERVOIR_3076M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S03_NORMAL_RESERVOIR_3076M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S03_NORMAL_RESERVOIR_3076M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S04_DESIGN_FLOOD_3580CMS,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S04_DESIGN_FLOOD_3580CMS,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S04_DESIGN_FLOOD_3580CMS,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S04_DESIGN_FLOOD_3580CMS,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S04_DESIGN_FLOOD_3580CMS,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S05_CHECK_FLOOD_AND_SEISMIC,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S06_DRAWDOWN_TO_3074M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S06_DRAWDOWN_TO_3074M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S06_DRAWDOWN_TO_3074M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S06_DRAWDOWN_TO_3074M,3055,3055,0,"9.81*max(H-z,0)"
DOWNSTREAM,S06_DRAWDOWN_TO_3074M,3055,3055,0,"9.81*max(H-z,0)"
