part,material,original_element_type,final_element_type,count,active_in_final_assembly,porous_region
CUTOFF_WALL_POWERHOUSE,CONCRETE,C3D8R,C3D8R,18,NO,NO
ECO_RELEASE_01,CONCRETE,C3D8R,C3D8R,12,NO,NO
ECO_RELEASE_02,CONCRETE,C3D8R,C3D8R,12,NO,NO
FISHWAY_SEGMENT_01,CONCRETE,C3D8R,C3D8R,2,NO,NO
FISHWAY_SEGMENT_02,CONCRETE,C3D8R,C3D8R,2,NO,NO
FISHWAY_SEGMENT_03,CONCRETE,C3D8R,C3D8R,2,NO,NO
FISHWAY_SEGMENT_04,CONCRETE,C3D8R,C3D8R,2,NO,NO
FISHWAY_SEGMENT_05,CONCRETE,C3D8R,C3D8R,2,NO,NO
FISHWAY_SEGMENT_06,CONCRETE,C3D8R,C3D8R,2,NO,NO
LEFT_FOUNDATION_GRANITE,FRESH_GRANITE,C3D8R,C3D8R,960,YES,NO
LEFT_L01_Q4DEL,Q4DEL,C3D8R,C3D8P,542,YES,YES
LEFT_L03_Q4AL_SGR1,Q4AL_SGR1,C3D8R,C3D8P,294,YES,YES
LEFT_L05_Q3AL_IV2,Q3AL_IV2,C3D8R,C3D8P,294,YES,YES
LEFT_L06_Q3AL_IV1,Q3AL_IV1,C3D8R,C3D8P,624,YES,YES
LEFT_L07_Q3AL_III,Q3AL_III,C3D8R,C3D8P,320,YES,YES
LEFT_L08_Q3AL_II,Q3AL_II,C3D8R,C3D8P,320,YES,YES
LEFT_L09_Q3AL_I,Q3AL_I,C3D8R,C3D8P,320,YES,YES
LEFT_L10_Q2FGL_V,Q2FGL_V,C3D8R,C3D8P,640,YES,YES
LEFT_L11_Q2FGL_IV,Q2FGL_IV,C3D8R,C3D8P,640,YES,YES
LEFT_L12_Q2FGL_III,Q2FGL_III,C3D8R,C3D8P,640,YES,YES
LEFT_L13_Q2FGL_II,Q2FGL_II,C3D8R,C3D8P,640,YES,YES
LEFT_L14_Q2FGL_I,Q2FGL_I,C3D8R,C3D8P,1280,YES,YES
LEFT_P2_QUARTZ_SANDSTONE,P2_QUARTZITE,C3D8R,C3D8R,300,YES,NO
LEFT_SUBDAM,CONCRETE,C3D8R,C3D8R,96,NO,NO
P25_SOLID_CUTOFF_WALL_F13,P25_FANGSHENQIANG,C3D8R,C3D8P,1036,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F02,P25_BAKESHALI,C3D6,C3D6P,222,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F02,P25_BAKESHALI,C3D8R,C3D8P,4070,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F06,P25_BAKESHALI,C3D6,C3D6P,148,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F06,P25_BAKESHALI,C3D8R,C3D8P,1554,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F08,P25_BAKESHALI,C3D6,C3D6P,74,YES,YES
P25_SOLID_DAM_SHELL_GRAVEL_F08,P25_BAKESHALI,C3D8R,C3D8P,1554,YES,YES
P25_SOLID_DRAINAGE_BODY_F00,P25_PAISHUITI,C3D8R,C3D8P,518,YES,YES
P25_SOLID_DRAINAGE_BODY_F03,P25_PAISHUITI,C3D8R,C3D8P,1184,YES,YES
P25_SOLID_FILTER_LAYER_F01,P25_FANLV,C3D6,C3D6P,518,YES,YES
P25_SOLID_FILTER_LAYER_F01,P25_FANLV,C3D8R,C3D8P,962,YES,YES
P25_SOLID_IMPERMEABLE_FILL_F12,P25_BIQILIAO,C3D6,C3D6P,74,YES,YES
P25_SOLID_IMPERMEABLE_FILL_F12,P25_BIQILIAO,C3D8R,C3D8P,1036,YES,YES
P25_SOLID_MAIN_ROCKFILL_F09,P25_WEIYANJITI,C3D6,C3D6P,296,YES,YES
P25_SOLID_MAIN_ROCKFILL_F09,P25_WEIYANJITI,C3D8R,C3D8P,1702,YES,YES
P25_SOLID_MAIN_ROCKFILL_F11,P25_WEIYANJITI,C3D6,C3D6P,148,YES,YES
P25_SOLID_MAIN_ROCKFILL_F11,P25_WEIYANJITI,C3D8R,C3D8P,296,YES,YES
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,P25_WEIYANSHALI,C3D6,C3D6P,148,YES,YES
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,P25_WEIYANSHALI,C3D8R,C3D8P,888,YES,YES
POWERHOUSE_INSTALLATION_BAY,CONCRETE,C3D8R,C3D8R,16,NO,NO
POWERHOUSE_UNIT_01,CONCRETE,C3D8R,C3D8R,48,NO,NO
POWERHOUSE_UNIT_02,CONCRETE,C3D8R,C3D8R,48,NO,NO
POWERHOUSE_UNIT_03,CONCRETE,C3D8R,C3D8R,48,NO,NO
POWERHOUSE_UNIT_04,CONCRETE,C3D8R,C3D8R,48,NO,NO
RIGHT_BX01,DEFORMATION_BODY,C3D8R,C3D8R,4,NO,NO
RIGHT_BX02,DEFORMATION_BODY,C3D8R,C3D8R,4,NO,NO
RIGHT_BX03,DEFORMATION_BODY,C3D8R,C3D8R,4,NO,NO
RIGHT_CURTAIN_GROUTING_ZONE,ROCK_WEAK_UNLOADED,C3D8R,C3D8R,30,NO,NO
RIGHT_FRESH_GRANITE,FRESH_GRANITE,C3D8R,C3D8R,700,YES,NO
RIGHT_HIGH_TERRACE_COVER,Q3AL_V,C3D8R,C3D8P,60,YES,YES
RIGHT_Q4_COLLUVIAL,Q4DEL,C3D8R,C3D8P,140,YES,YES
RIGHT_R04_Q3AL_V,Q3AL_V,C3D8R,C3D8P,280,YES,YES
RIGHT_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R,C3D8R,560,YES,NO
RIGHT_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R,C3D8R,280,YES,NO
RIGHT_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R,C3D8R,140,YES,NO
RIVER_FRESH_GRANITE,FRESH_GRANITE,C3D8R,C3D8R,320,YES,NO
RIVER_R02_Q4AL_SGR2,Q4AL_SGR2,C3D8R,C3D8P,160,YES,YES
RIVER_R05_Q3AL_IV2,Q3AL_IV2,C3D8R,C3D8P,160,YES,YES
RIVER_R06_Q3AL_IV1,Q3AL_IV1,C3D8R,C3D8P,320,YES,YES
RIVER_R07_Q3AL_III,Q3AL_III,C3D8R,C3D8P,160,YES,YES
RIVER_R08_Q3AL_II,Q3AL_II,C3D8R,C3D8P,160,YES,YES
RIVER_R09_Q3AL_I,Q3AL_I,C3D8R,C3D8P,160,YES,YES
RIVER_R10_Q2FGL_V,Q2FGL_V,C3D8R,C3D8P,320,YES,YES
RIVER_R11_Q2FGL_IV,Q2FGL_IV,C3D8R,C3D8P,320,YES,YES
RIVER_R12_Q2FGL_III,Q2FGL_III,C3D8R,C3D8P,320,YES,YES
RIVER_R13_Q2FGL_II,Q2FGL_II,C3D8R,C3D8P,320,YES,YES
RIVER_R14_Q2FGL_I,Q2FGL_I,C3D8R,C3D8P,480,YES,YES
RIVER_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R,C3D8R,320,YES,NO
RIVER_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R,C3D8R,320,YES,NO
RIVER_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R,C3D8R,320,YES,NO
SPILLWAY_BAY_01,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_02,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_03,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_04,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_05,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_06,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_07,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_BAY_08,CONCRETE,C3D8R,C3D8R,12,NO,NO
SPILLWAY_LEFT_WALL,CONCRETE,C3D8R,C3D8R,8,NO,NO
SPILLWAY_RIGHT_WALL,CONCRETE,C3D8R,C3D8R,8,NO,NO
SPILLWAY_STILLING_BASIN,CONCRETE,C3D8R,C3D8R,25,NO,NO
TAILWATER_CHANNEL,CONCRETE,C3D8R,C3D8R,30,NO,NO
V12_UPSTREAM_GEOMEMBRANE,GEOMEMBRANE,new,C3D8P,80,YES,YES
