interface_name,upstream_side,downstream_side,por_field_available,continuity_result,evidence
V12_TIE_000,LEFT_FOUNDATION_GRANITE_I,LEFT_L14_Q2FGL_I_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_001,LEFT_L01_Q4DEL_I,LEFT_L03_Q4AL_SGR1_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_002,LEFT_L03_Q4AL_SGR1_I,LEFT_L05_Q3AL_IV2_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_003,LEFT_L05_Q3AL_IV2_I,LEFT_L06_Q3AL_IV1_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_004,LEFT_L06_Q3AL_IV1_I,LEFT_L07_Q3AL_III_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_005,LEFT_L07_Q3AL_III_I,LEFT_L08_Q3AL_II_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_006,LEFT_L08_Q3AL_II_I,LEFT_L09_Q3AL_I_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_007,LEFT_L09_Q3AL_I_I,LEFT_L10_Q2FGL_V_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_008,LEFT_L10_Q2FGL_V_I,LEFT_L11_Q2FGL_IV_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_009,LEFT_L11_Q2FGL_IV_I,LEFT_L12_Q2FGL_III_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_010,LEFT_L12_Q2FGL_III_I,LEFT_L13_Q2FGL_II_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_011,LEFT_L13_Q2FGL_II_I,LEFT_L14_Q2FGL_I_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_012,RIVER_R02_Q4AL_SGR2_I,RIVER_R05_Q3AL_IV2_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_013,RIVER_R05_Q3AL_IV2_I,RIVER_R06_Q3AL_IV1_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_014,RIVER_R06_Q3AL_IV1_I,RIVER_R07_Q3AL_III_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_015,RIVER_R07_Q3AL_III_I,RIVER_R08_Q3AL_II_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_016,RIVER_R08_Q3AL_II_I,RIVER_R09_Q3AL_I_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_017,RIVER_R09_Q3AL_I_I,RIVER_R10_Q2FGL_V_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_018,RIVER_R10_Q2FGL_V_I,RIVER_R11_Q2FGL_IV_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_019,RIVER_R11_Q2FGL_IV_I,RIVER_R12_Q2FGL_III_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_020,RIVER_R12_Q2FGL_III_I,RIVER_R13_Q2FGL_II_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_021,RIVER_R13_Q2FGL_II_I,RIVER_R14_Q2FGL_I_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_022,RIVER_R14_Q2FGL_I_I,RIVER_ROCK_STRONG_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_023,RIVER_ROCK_STRONG_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_024,RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_025,RIVER_ROCK_DEEP_UNLOADED_I,RIVER_FRESH_GRANITE_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_026,RIGHT_Q4_COLLUVIAL_I,RIGHT_R04_Q3AL_V_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
