interface_name,side_a,side_b,physical_relation,geometric_overlap_or_gap_m,connection_method,mechanical_status,hydraulic_continuity_status,retained_modified_removed
V12_TIE_000,LEFT_FOUNDATION_GRANITE_I,LEFT_L14_Q2FGL_I_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_001,LEFT_L01_Q4DEL_I,LEFT_L03_Q4AL_SGR1_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_002,LEFT_L03_Q4AL_SGR1_I,LEFT_L05_Q3AL_IV2_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_003,LEFT_L05_Q3AL_IV2_I,LEFT_L06_Q3AL_IV1_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_004,LEFT_L06_Q3AL_IV1_I,LEFT_L07_Q3AL_III_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_005,LEFT_L07_Q3AL_III_I,LEFT_L08_Q3AL_II_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_006,LEFT_L08_Q3AL_II_I,LEFT_L09_Q3AL_I_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_007,LEFT_L09_Q3AL_I_I,LEFT_L10_Q2FGL_V_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_008,LEFT_L10_Q2FGL_V_I,LEFT_L11_Q2FGL_IV_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_009,LEFT_L11_Q2FGL_IV_I,LEFT_L12_Q2FGL_III_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_010,LEFT_L12_Q2FGL_III_I,LEFT_L13_Q2FGL_II_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_011,LEFT_L13_Q2FGL_II_I,LEFT_L14_Q2FGL_I_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_012,RIVER_R02_Q4AL_SGR2_I,RIVER_R05_Q3AL_IV2_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_013,RIVER_R05_Q3AL_IV2_I,RIVER_R06_Q3AL_IV1_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_014,RIVER_R06_Q3AL_IV1_I,RIVER_R07_Q3AL_III_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_015,RIVER_R07_Q3AL_III_I,RIVER_R08_Q3AL_II_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_016,RIVER_R08_Q3AL_II_I,RIVER_R09_Q3AL_I_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_017,RIVER_R09_Q3AL_I_I,RIVER_R10_Q2FGL_V_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_018,RIVER_R10_Q2FGL_V_I,RIVER_R11_Q2FGL_IV_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_019,RIVER_R11_Q2FGL_IV_I,RIVER_R12_Q2FGL_III_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_020,RIVER_R12_Q2FGL_III_I,RIVER_R13_Q2FGL_II_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_021,RIVER_R13_Q2FGL_II_I,RIVER_R14_Q2FGL_I_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_022,RIVER_R14_Q2FGL_I_I,RIVER_ROCK_STRONG_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_023,RIVER_ROCK_STRONG_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_024,RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_025,RIVER_ROCK_DEEP_UNLOADED_I,RIVER_FRESH_GRANITE_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_026,RIGHT_Q4_COLLUVIAL_I,RIGHT_R04_Q3AL_V_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_027,RIGHT_Q4_COLLUVIAL_I,RIGHT_HIGH_TERRACE_COVER_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_028,RIGHT_R04_Q3AL_V_I,RIGHT_ROCK_STRONG_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_029,RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_030,RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_031,RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_FRESH_GRANITE_I,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_032,P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_033,P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_034,P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_DRAINAGE_BODY_F03-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_035,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DRAINAGE_BODY_F03-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_036,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_037,P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_038,P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_IMPERMEABLE_FILL_F12-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_039,P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_IMPERMEABLE_FILL_F12-1,exact coincident boundary,0,surface Tie (exact matched faces),TIED; exact coincident interface,NOT_VERIFIED; POR continuity not extracted,RETAINED
V12_TIE_040,LEFT_RIVER_GEOLOGY_NONCONFORMAL,LEFT_RIVER_GEOLOGY_NONCONFORMAL,aggregate nonconformal interface,NOT_ESTABLISHED; candidate tolerance=2.0 m,surface Tie (aggregate nonconformal candidate),TIED,NOT_VERIFIED; requires POR continuity extraction,RETAINED
V12_TIE_041,RIVER_RIGHT_GEOLOGY_NONCONFORMAL,RIVER_RIGHT_GEOLOGY_NONCONFORMAL,nonconformal candidate rejected after overlap/edge audit,NOT_ESTABLISHED; candidate tolerance=2.0 m,NO TIE EMITTED,NOT_CONNECTED; skipped because no valid non-overlap surface,NOT_VERIFIED; river/right continuity unresolved,RETAINED GEOMETRY; UNRESOLVED INTERFACE
V12_TIE_042,DAM_RIVER_FOUNDATION_NONCONFORMAL,DAM_RIVER_FOUNDATION_NONCONFORMAL,aggregate nonconformal interface,NOT_ESTABLISHED; candidate tolerance=6.0 m,surface Tie (aggregate nonconformal candidate),TIED,NOT_VERIFIED; requires POR continuity extraction,RETAINED
V12_TIE_GEOMEMBRANE_FILL,V12_UPSTREAM_SURFACE,V12_GEOMEMBRANE_FACE,nonconformal geomembrane contact interface,NOT_ESTABLISHED; candidate tolerance=2.0 m,surface Tie to geomembrane,TIED,NOT_VERIFIED; pore continuity requires solver check,RETAINED
V12_TIE_GEOMEMBRANE_CUTOFF,V12_CUTOFF_TOP_SURFACE,V12_GEOMEMBRANE_TOP,nonconformal geomembrane contact interface,NOT_ESTABLISHED; candidate tolerance=1.5 m,surface Tie to geomembrane,TIED,NOT_VERIFIED; pore continuity requires solver check,RETAINED
SUPPRESSED_RIGHT_BX01_I,RIGHT_BX01_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_RIGHT_BX02_I,RIGHT_BX02_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_RIGHT_BX03_I,RIGHT_BX03_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_POWERHOUSE_UNIT_01_I,POWERHOUSE_UNIT_01_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_POWERHOUSE_UNIT_02_I,POWERHOUSE_UNIT_02_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_POWERHOUSE_UNIT_03_I,POWERHOUSE_UNIT_03_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_POWERHOUSE_UNIT_04_I,POWERHOUSE_UNIT_04_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_POWERHOUSE_INSTALLATION_BAY_I,POWERHOUSE_INSTALLATION_BAY_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_TAILWATER_CHANNEL_I,TAILWATER_CHANNEL_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_CUTOFF_WALL_POWERHOUSE_I,CUTOFF_WALL_POWERHOUSE_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_RIGHT_CURTAIN_GROUTING_ZONE_I,RIGHT_CURTAIN_GROUTING_ZONE_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_01_I,SPILLWAY_BAY_01_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_02_I,SPILLWAY_BAY_02_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_03_I,SPILLWAY_BAY_03_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_04_I,SPILLWAY_BAY_04_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_05_I,SPILLWAY_BAY_05_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_06_I,SPILLWAY_BAY_06_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_07_I,SPILLWAY_BAY_07_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_BAY_08_I,SPILLWAY_BAY_08_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_STILLING_BASIN_I,SPILLWAY_STILLING_BASIN_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_LEFT_WALL_I,SPILLWAY_LEFT_WALL_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_SPILLWAY_RIGHT_WALL_I,SPILLWAY_RIGHT_WALL_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_01_I,FISHWAY_SEGMENT_01_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_02_I,FISHWAY_SEGMENT_02_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_03_I,FISHWAY_SEGMENT_03_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_04_I,FISHWAY_SEGMENT_04_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_05_I,FISHWAY_SEGMENT_05_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_FISHWAY_SEGMENT_06_I,FISHWAY_SEGMENT_06_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_ECO_RELEASE_01_I,ECO_RELEASE_01_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_ECO_RELEASE_02_I,ECO_RELEASE_02_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
SUPPRESSED_LEFT_SUBDAM_I,LEFT_SUBDAM_I,N/A,appurtenant solid has no verified supporting surface or partition interface in the source mesh,NOT_USED,SUPPRESSED FROM RETAINED BASELINE,NOT VALIDATED; isolated in restoration test,NOT APPLICABLE WHILE SUPPRESSED,REMOVED FROM CORE BASELINE
