instance,instance_bbox_xyz,candidate_rank,support_instance,support_bbox_xyz,bbox_gap_m,axis_gap_xyz_m,nearest_node_distance_m,instance_node,support_node,bbox_overlap
CUTOFF_WALL_POWERHOUSE_I,-10:-8;-122:-15;3011:3029.7,1,LEFT_L06_Q3AL_IV1_I,-600:900;-700:150;3019.95:3071.54,0,0;0;0,1.11084,44,555,YES
CUTOFF_WALL_POWERHOUSE_I,-10:-8;-122:-15;3011:3029.7,2,LEFT_L07_Q3AL_III_I,-600:900;-700:150;3010.66:3048.52,0,0;0;0,0.45825,16,198,YES
CUTOFF_WALL_POWERHOUSE_I,-10:-8;-122:-15;3011:3029.7,3,LEFT_L08_Q3AL_II_I,-600:900;-700:150;2998.18:3035.14,0,0;0;0,0.45825,16,555,YES
ECO_RELEASE_01_I,-35:38;-15:-1;3050:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,1.52197,12,956,YES
ECO_RELEASE_01_I,-35:38;-15:-1;3050:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,2.45874,1,595,YES
ECO_RELEASE_01_I,-35:38;-15:-1;3050:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,8.14331,1,595,YES
ECO_RELEASE_02_I,-35:38;1:15;3050:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,1.52197,16,977,YES
ECO_RELEASE_02_I,-35:38;1:15;3050:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,2.45874,5,616,YES
ECO_RELEASE_02_I,-35:38;1:15;3050:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,8.14331,5,616,YES
FISHWAY_SEGMENT_01_I,80:170;-440:-420;3054:3058,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,7.23177637,1,77,YES
FISHWAY_SEGMENT_01_I,80:170;-440:-420;3054:3058,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,7.23177637,1,434,YES
FISHWAY_SEGMENT_01_I,80:170;-440:-420;3054:3058,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,9.44748573,1,434,YES
FISHWAY_SEGMENT_02_I,170:270;-470:-440;3058:3061,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,5.28423528,11,438,YES
FISHWAY_SEGMENT_02_I,170:270;-470:-440;3058:3061,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,5.96942675,5,438,YES
FISHWAY_SEGMENT_02_I,170:270;-470:-440;3058:3061,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,12.1072758,5,438,YES
FISHWAY_SEGMENT_03_I,270:380;-510:-470;3061:3065,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,26.932863,8,61,YES
FISHWAY_SEGMENT_03_I,270:380;-510:-470;3061:3065,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,26.932863,8,418,YES
FISHWAY_SEGMENT_03_I,270:380;-510:-470;3061:3065,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,27.3724982,2,418,YES
FISHWAY_SEGMENT_04_I,380:500;-550:-510;3065:3069,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,80.6249286,4,61,YES
FISHWAY_SEGMENT_04_I,380:500;-550:-510;3065:3069,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,80.6249286,4,418,YES
FISHWAY_SEGMENT_04_I,380:500;-550:-510;3065:3069,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,81.1150544,4,418,YES
FISHWAY_SEGMENT_05_I,500:620;-590:-550;3069:3072,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,28.2927208,9,41,YES
FISHWAY_SEGMENT_05_I,500:620;-590:-550;3069:3072,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,28.2927208,9,398,YES
FISHWAY_SEGMENT_05_I,500:620;-590:-550;3069:3072,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,29.1099617,3,398,YES
FISHWAY_SEGMENT_06_I,620:760;-620:-590;3072:3074,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,22.3713667,1,41,YES
FISHWAY_SEGMENT_06_I,620:760;-620:-590;3072:3074,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,22.3713667,1,398,YES
FISHWAY_SEGMENT_06_I,620:760;-620:-590;3072:3074,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,24.4477821,1,398,YES
LEFT_SUBDAM_I,-55:85;-340:-135;3059:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.33008,1,825,YES
LEFT_SUBDAM_I,-55:85;-340:-135;3059:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,11.34351,1,468,YES
LEFT_SUBDAM_I,-55:85;-340:-135;3059:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,17.03052,1,468,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,2.61597,1,908,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,14.29175,1,551,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,19.97974,1,551,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.13696,35,202,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.13696,35,559,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,1.80396,20,202,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,19.9004728,45,223,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,19.9004728,45,580,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,19.9815998,30,223,YES
POWERHOUSE_UNIT_03_I,-30:70;-68.7:-43.25;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,5.976568,40,223,YES
