dam_region,station_global_y_m,minimum_dam_fill_z_m,adjacent_foundation_top_z_m,gap_or_overlap_m,existing_tie_contact_relation,foundation_3052_interpretation,status,notes
P25_SOLID_DAM_SHELL_GRAVEL_F02,150.000000,3057.776370,3059.899900,-2.123530,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,199.166667,3057.776370,3058.211180,-0.434810,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,248.333333,3057.776370,3058.706790,-0.930420,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,297.500000,3057.776370,3059.132810,-1.356440,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,346.666667,3057.776370,3059.618900,-1.842530,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,395.833333,3057.776370,3060.281250,-2.504880,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F02,445.000000,3057.776370,3060.707520,-2.931150,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,150.000000,3055.870850,3058.771970,-2.901120,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,199.166667,3055.870850,3058.211180,-2.340330,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,248.333333,3055.870850,3058.706790,-2.835940,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,297.500000,3055.870850,3058.298100,-2.427250,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,346.666667,3055.870850,3058.418700,-2.547850,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,395.833333,3055.870850,3058.610350,-2.739500,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F06,445.000000,3055.870850,3058.641850,-2.771000,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,150.000000,3055.000000,3057.679930,-2.679930,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,199.166667,3055.000000,3057.011230,-2.011230,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,248.333333,3055.000000,3057.705080,-2.705080,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,297.500000,3055.000000,3057.932860,-2.932860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
