instance,part,xmin_m,xmax_m,ymin_m,ymax_m,zmin_m,zmax_m,base_z_min_m,base_z_max_m,top_z_min_m,top_z_max_m,local_thickness_min_m,local_thickness_median_m,local_thickness_max_m,vertical_columns,adjacent_interface_relation,design_evidence_availability,status,notes
LEFT_FOUNDATION_GRANITE_I,LEFT_FOUNDATION_GRANITE,-600.000000,900.000000,-700.000000,150.000000,2600.000000,2869.199950,2600.000000,2600.000000,2738.199950,2869.199950,138.199950,267.830080,269.199950,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L01_Q4DEL_I,LEFT_L01_Q4DEL,-600.000000,900.000000,-700.000000,150.000000,3042.159670,3113.600100,3042.159670,3091.476320,3053.600100,3113.600100,11.440430,11.662600,22.123780,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L03_Q4AL_SGR1_I,LEFT_L03_Q4AL_SGR1,-600.000000,900.000000,-700.000000,150.000000,3036.586430,3091.476320,3036.586430,3080.698490,3042.159670,3091.476320,5.573240,5.681640,10.777830,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L05_Q3AL_IV2_I,LEFT_L05_Q3AL_IV2,-600.000000,900.000000,-700.000000,150.000000,3031.851320,3080.698490,3031.851320,3071.541750,3036.586430,3080.698490,4.735110,4.826900,9.156740,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L06_Q3AL_IV1_I,LEFT_L06_Q3AL_IV1,-600.000000,900.000000,-700.000000,150.000000,3019.948000,3071.541750,3019.948000,3048.522710,3031.851320,3071.541750,11.903320,12.134530,23.019040,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L07_Q3AL_III_I,LEFT_L07_Q3AL_III,-600.000000,900.000000,-700.000000,150.000000,3010.659180,3048.522710,3010.659180,3035.144530,3019.948000,3048.522710,6.917970,7.052490,13.378180,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L08_Q3AL_II_I,LEFT_L08_Q3AL_II,-600.000000,900.000000,-700.000000,150.000000,2998.184810,3035.144530,2998.184810,3018.657470,3010.659180,3035.144530,8.525640,8.691160,16.487060,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L09_Q3AL_I_I,LEFT_L09_Q3AL_I,-600.000000,900.000000,-700.000000,150.000000,2989.640140,3018.657470,2989.640140,3008.932130,2998.184810,3018.657470,5.029050,5.126710,9.725340,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L10_Q2FGL_V_I,LEFT_L10_Q2FGL_V,-600.000000,900.000000,-700.000000,150.000000,2965.283200,3008.932130,2965.283200,2993.121830,2989.640140,3008.932130,13.198000,13.454340,25.522710,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L11_Q2FGL_IV_I,LEFT_L11_Q2FGL_IV,-600.000000,900.000000,-700.000000,150.000000,2935.958980,2993.121830,2935.958980,2977.119380,2965.283200,2993.121830,15.506100,15.807380,29.986320,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
