step,boundary,node_or_surface,instance,part,x_m,y_m,z_m,head_H_m,prescribed_POR_kPa,formula,physical_boundary_check,status,basis
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00000,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-36.500000,445.000000,3073.511470,3076.000000,24.412479,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00001,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-90.500000,445.000000,3059.165040,3076.000000,165.150958,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00002,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-70.500000,445.000000,3068.883540,3076.000000,69.812473,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00003,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-58.500000,445.000000,3068.883540,3076.000000,69.812473,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00004,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-46.500000,445.000000,3073.511470,3076.000000,24.412479,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00005,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-87.166664,445.000000,3060.784910,3076.000000,149.260033,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00006,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-83.833336,445.000000,3062.404540,3076.000000,133.371463,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00007,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-80.500000,445.000000,3064.024410,3076.000000,117.480538,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00008,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-77.166664,445.000000,3065.644040,3076.000000,101.591968,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00009,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-73.833336,445.000000,3067.263920,3076.000000,85.700945,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
S03_NORMAL_RESERVOIR,UPSTREAM,V12_U_00010,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,-66.500000,445.000000,3068.883540,3076.000000,69.812473,"9.81*max(H-z,0)",source upstream pore-head node set,PASS,normal reservoir
