station,target_chainage_m,geometric_cumulative_m,delta_m,x_m,y_m,z_m,status
0+015.00,15,15,0,195.5,-94,3053,PASS
0+104.77,104.77,104.7791972,0.009197236293,285.27,-94,3054.285051,PASS
0+382.12,382.12,382.1450498,0.02504984152,440,-94,3058.5,PASS
0+416.00,416,416.0250498,0.02504984152,440,-60.12368969,3059,PASS
0+948.00,948,948.0250498,0.02504984152,-68.85,-200,3059,PASS
0+955.00,955,955.0250498,0.02504984152,-61.85,-200,3059,PASS
0+1250.00,1250,1250.02505,0.02504984152,-50.85,-483.6789559,3072.5,PASS
0+1270.00,1270,1270.02505,0.02504984152,-50.85,-503.6789559,3072.5,PASS
0+1370.00,1370,1370.02505,0.02504984152,-50.85,-603.6739557,3073.5,PASS
0+1407.57,1407.57,1407.59505,0.02504984152,-50.85,-641.2439557,3073.5,PASS
