part,changed,expected,status,notes
P25_SOLID_DAM_SHELL_GRAVEL_F02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_DAM_SHELL_GRAVEL_F06,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_DAM_SHELL_GRAVEL_F08,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_DRAINAGE_BODY_F00,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_DRAINAGE_BODY_F03,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_FILTER_LAYER_F01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_IMPERMEABLE_FILL_F12,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_MAIN_ROCKFILL_F09,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_MAIN_ROCKFILL_F11,NO,NO,PASS,V15.10 geometry retained byte-for-byte
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_UNIT_01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_UNIT_02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_UNIT_03,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_UNIT_04,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_INSTALLATION_BAY,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_TAILWATER_CHANNEL,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_TAILWATER_RIVERBED,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_TAILWATER_LEFT_RETAINING_WALL,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_TAILWATER_DOWNSTREAM_RIVERBED,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_03,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_04,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_05,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_06,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_07,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LEFT_ABUTMENT,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_RIGHT_ABUTMENT,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_03,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_04,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_05,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_06,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_07,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_08,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_CHUTE_SLAB,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_STILLING_BASIN,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_BASE,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LEFT_PIER,NO,NO,PASS,V15.10 geometry retained byte-for-byte
