instance,part,role,global_bbox,centroid,nearest_named_neighbors,transformed_source,status
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,structural_or_context,"25.475100000,150.000038762,3055.000000000;42.000000000,445.000038851,3062.040003743","33.737550000,297.500038807,3058.520001871",P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F08-1 (0.000000 m);P25_SOLID_DRAINAGE_BODY_F03-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,structural_or_context,"-20.815100000,150.000038762,3055.000000000;26.061800000,445.000039026,3075.800003743","2.623350000,297.500038894,3065.400001871",P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F06-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F08-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,dam_fill,"-28.500000000,150.000038797,3057.780000000;29.937300000,445.000039049,3077.650003743","0.718650000,297.500038923,3067.715001871",P25_SOLID_DAM_SHELL_GRAVEL_F06-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F08-1 (0.000000 m);P25_SOLID_DRAINAGE_BODY_F00-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,structural_or_context,"-19.817200000,150.000038774,3055.930000000;27.235800000,445.000039026,3075.800003743","3.709300000,297.500038900,3065.865001871",P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F06-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F08-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,dam_fill,"-34.500000000,150.000038773,3055.870000000;-10.493100000,445.000038973,3071.660003743","-22.496550000,297.500038873,3063.765001871",P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F08-1 (0.000000 m);P25_SOLID_DRAINAGE_BODY_F03-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,dam_fill,"-34.500000000,150.000038762,3055.000000000;44.486400000,445.000039073,3079.500003743","4.993200000,297.500038917,3067.250001871",P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F06-1 (0.000000 m);P25_SOLID_DRAINAGE_BODY_F00-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,dam_fill,"-72.341900000,150.000038797,3057.780000000;-36.500000000,445.000038973,3071.660003743","-54.420950000,297.500038885,3064.720001871",P25_SOLID_IMPERMEABLE_FILL_F12-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F11-1 (0.000000 m);P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,dam_fill,"-80.500000000,150.000038801,3058.070000000;-50.627500000,445.000038868,3063.390003743","-65.563750000,297.500038835,3060.730001871",P25_SOLID_IMPERMEABLE_FILL_F12-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F09-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F11-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,dam_fill,"-87.500000000,150.000038809,3058.700000000;-66.000000000,445.000038915,3067.030003743","-76.750000000,297.500038862,3062.865001871",P25_SOLID_IMPERMEABLE_FILL_F12-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F09-1 (0.000000 m);P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,structural_or_context,"-90.500000000,150.000038815,3059.170000000;-36.500000000,445.000038997,3073.510003743","-63.500000000,297.500038906,3066.340001871",P25_SOLID_MAIN_ROCKFILL_F09-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F11-1 (0.000000 m);P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1 (0.000000 m),INP *Instance translation + rotation rows,PASS
