instance,part,translation,axis_point_1,axis_point_2,angle_deg,placement_rows,transform_source,global_bbox,node_count,element_count,element_types,status
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"25.475100000,150.000038762,3055.000000000;42.000000000,445.000038851,3062.040003743",975,518,C3D8P,PASS
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-20.815100000,150.000038762,3055.000000000;26.061800000,445.000039026,3075.800003743",2625,1480,C3D6P;C3D8P,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-28.500000000,150.000038797,3057.780000000;29.937300000,445.000039049,3077.650003743",5850,4292,C3D6P;C3D8P,PASS
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-19.817200000,150.000038774,3055.930000000;27.235800000,445.000039026,3075.800003743",2550,1184,C3D8P,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-34.500000000,150.000038773,3055.870000000;-10.493100000,445.000038973,3071.660003743",2400,1702,C3D6P;C3D8P,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-34.500000000,150.000038762,3055.000000000;44.486400000,445.000039073,3079.500003743",3375,1628,C3D6P;C3D8P,PASS
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-72.341900000,150.000038797,3057.780000000;-36.500000000,445.000038973,3071.660003743",2775,1998,C3D6P;C3D8P,PASS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-80.500000000,150.000038801,3058.070000000;-50.627500000,445.000038868,3063.390003743",1575,1036,C3D6P;C3D8P,PASS
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-87.500000000,150.000038809,3058.700000000;-66.000000000,445.000038915,3067.030003743",900,444,C3D6P;C3D8P,PASS
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-90.500000000,150.000038815,3059.170000000;-36.500000000,445.000038997,3073.510003743",2325,1110,C3D6P;C3D8P,PASS
P25_SOLID_CUTOFF_WALL_F13-1,V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,"0.000000000,445.000000000,0.000000000","0.000000000,445.000000000,0.000000000","1.000000013,445.000000000,0.000000000",89.999999273,2,INP *Instance translation + rotation rows,"-36.000000000,150.000038331,3021.000000000;-35.000000000,445.000038997,3073.510003743",48411,31376,C3D8P,PASS
V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-90.500000000,150.000000000,3055.000000000;-35.500000000,445.000000000,3073.510000000",5050,2400,C3D8P,PASS
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-122.000000000,3029.700000000;26.500000000,-95.350000000,3081.000000000",13656,9434,C3D8R,PASS
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-95.350000000,3029.700000000;26.500000000,-68.700000000,3081.000000000",13656,9434,C3D8R,PASS
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-68.700000000,3029.700000000;26.500000000,-42.050000000,3081.000000000",13656,9434,C3D8R,PASS
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-42.050000000,3029.700000000;26.500000000,-15.400000000,3081.000000000",13656,9434,C3D8R,PASS
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-64.000000000,-156.000000000,3056.465000000;-7.500000000,-122.000000000,3079.000000000",4500,3462,C3D8R,PASS
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"26.500000000,-87.000000000,3036.100000000;180.500000000,-15.400000000,3053.000000000",3780,1798,C3D8R,PASS
