boundary_name,location,type,value,source,status
S00_BASE_SUPPORT,actual minimum-Z face of each of 14 porous instances,U1=U2=U3=0 on distributed base-face node sets,0,physical bottom/support face derived from transformed Assembly coordinates,APPLIED_PHYSICAL_SUPPORT
S00_UPSTREAM_00,P25_SOLID_DRAINAGE_BODY_F00-1 x=25.4751 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_00,P25_SOLID_DRAINAGE_BODY_F00-1 x=42 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_01,P25_SOLID_FILTER_LAYER_F01-1 x=-20.8151 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_01,P25_SOLID_FILTER_LAYER_F01-1 x=26.0618 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_02,P25_SOLID_DAM_SHELL_GRAVEL_F02-1 x=-28.5 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_02,P25_SOLID_DAM_SHELL_GRAVEL_F02-1 x=29.9373 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_03,P25_SOLID_DRAINAGE_BODY_F03-1 x=-19.8172 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_03,P25_SOLID_DRAINAGE_BODY_F03-1 x=27.2358 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_04,P25_SOLID_DAM_SHELL_GRAVEL_F06-1 x=-34.5 transformed assembly plane; 5 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_04,P25_SOLID_DAM_SHELL_GRAVEL_F06-1 x=-10.4931 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_05,P25_SOLID_DAM_SHELL_GRAVEL_F08-1 x=-34.5 transformed assembly plane; 2 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_05,P25_SOLID_DAM_SHELL_GRAVEL_F08-1 x=44.4864 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_06,P25_SOLID_MAIN_ROCKFILL_F09-1 x=-72.3419 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_06,P25_SOLID_MAIN_ROCKFILL_F09-1 x=-36.5 transformed assembly plane; 4 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_07,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1 x=-80.5 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_07,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1 x=-50.6275 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_08,P25_SOLID_MAIN_ROCKFILL_F11-1 x=-87.5 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_08,P25_SOLID_MAIN_ROCKFILL_F11-1 x=-66 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_09,P25_SOLID_IMPERMEABLE_FILL_F12-1 x=-90.5 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_09,P25_SOLID_IMPERMEABLE_FILL_F12-1 x=-36.5 transformed assembly plane; 2 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_10,P25_SOLID_CUTOFF_WALL_F13-1 x=-36 transformed assembly plane; 54 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_10,P25_SOLID_CUTOFF_WALL_F13-1 x=-35 transformed assembly plane; 54 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_11,V12_UPSTREAM_GEOMEMBRANE-1 x=-90.5 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,PASS_SOURCE_HEAD
S00_DOWNSTREAM_11,V12_UPSTREAM_GEOMEMBRANE-1 x=-36 transformed assembly plane; 1 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,PASS_SOURCE_HEAD
S00_UPSTREAM_12,V15_7_FOUNDATION_GEOLOGY_I x=-600 transformed assembly plane; 670 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_12,V15_7_FOUNDATION_GEOLOGY_I x=900 transformed assembly plane; 663 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_UPSTREAM_13,V15_13_ANTI_SEEPAGE_CHAIN_I x=-64 transformed assembly plane; 4 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3076-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_DOWNSTREAM_13,V15_13_ANTI_SEEPAGE_CHAIN_I x=-19 transformed assembly plane; 2 pressure bins,"pore pressure DOF 8, hydrostatic node-set values","p=9.81*max(3055-z,0) kPa",V13/V15 S03 normal-reservoir convention; transformed Assembly coordinates,ENGINEERING_ASSUMPTION_COMPONENT_BOUNDARY
S00_FOUNDATION_LATERAL,foundation geology outer faces not selected as upstream/downstream planes,natural hydraulic no-flow,not prescribed,closed geological domain boundary; no artificial flux boundary,PASS_NATURAL_NO_FLOW
S00_INITIAL_PORE_PRESSURE,14 existing V12_RATIO assembly sets,initial void ratio; no fixed initial pressure,ratio=0.5 inherited from v15.13 corrective deck,v15_13_initial_condition_audit.csv,AUDITED_NOT_PRESCRIBED
S00_PERMEABILITY,active porous materials,existing *Permeability definitions,preserved from validated deck,v15_13_permeability_material_audit.csv,PASS_WITH_ENGINEERING_ASSUMPTIONS
RIGHT_BANK_CURTAIN,right bank curtain,not represented as a new structure or boundary,unresolved,v15_13_right_bank_curtain_resolution.csv,UNRESOLVED
Q3AL_III,backfill geology,existing permeability and void-ratio assumption,preserved active deck value,v15_13_backfill_material_final_basis.csv,ENGINEERING_EQUIVALENT_ASSUMPTION
