model,part,nodes,elements,element_types
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_DAM_SHELL_GRAVEL_F02,5850,4292,C3D6P:222;C3D8P:4070
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_DAM_SHELL_GRAVEL_F06,2400,1702,C3D6P:148;C3D8P:1554
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_DAM_SHELL_GRAVEL_F08,3375,1628,C3D6P:74;C3D8P:1554
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_DRAINAGE_BODY_F00,975,518,C3D8P:518
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_DRAINAGE_BODY_F03,2550,1184,C3D8P:1184
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_FILTER_LAYER_F01,2625,1480,C3D6P:518;C3D8P:962
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_IMPERMEABLE_FILL_F12,2325,1110,C3D6P:74;C3D8P:1036
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_MAIN_ROCKFILL_F09,2775,1998,C3D6P:296;C3D8P:1702
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_MAIN_ROCKFILL_F11,900,444,C3D6P:148;C3D8P:296
V15_13_CORRECTIVE_EXECUTION,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,1575,1036,C3D6P:148;C3D8P:888
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_APPROACH_SLAB,2646,2080,C3D8R:2080
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_BASE,2352,1820,C3D8R:1820
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_CENTRAL_PIER,2772,2100,C3D8R:2100
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_LEFT_PIER,3234,2520,C3D8R:2520
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_LINK_TO_BASIN,462,260,C3D8R:260
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_LINTEL_01,2142,1600,C3D8R:1600
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_LINTEL_02,2142,1600,C3D8R:1600
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_OUTLET_SLAB,588,338,C3D8R:338
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_RIGHT_PIER,2772,2100,C3D8R:2100
V15_13_CORRECTIVE_EXECUTION,V15_4_ECO_RELEASE_TOP_CAP,840,572,C3D8R:572
V15_13_CORRECTIVE_EXECUTION,V15_4_FISHWAY,13916,4164,C3D8R:4164
V15_13_CORRECTIVE_EXECUTION,V15_4_FISHWAY_OUTLET_CHAMBER,777,400,C3D8R:400
V15_13_CORRECTIVE_EXECUTION,V15_4_FISHWAY_UPSTREAM_OUTLET,1170,760,C3D8R:760
V15_13_CORRECTIVE_EXECUTION,V15_4_LEFT_BANK_SUBDAM,3160,2280,C3D8R:2280
V15_13_CORRECTIVE_EXECUTION,V15_4_POWERHOUSE_INSTALLATION_BAY,4500,3462,C3D8R:3462
