segment_id,segment,x_start_m,x_end_m,y_start_m,y_end_m,thickness_m,bottom_start_m,bottom_end_m,top_start_m,top_end_m,source_basis,status
1,left_bank_abutment_extension,-64.000000000,-64.000000000,-325.700000000,-245.700000000,1.000000000,3021.000000000,3021.000000000,3059.000000000,3059.000000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
2,left_subdam_cutoff,-64.000000000,-64.000000000,-245.700000000,-156.000000000,1.000000000,3021.000000000,3021.000000000,3059.000000000,3056.465000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
3,installation_powerhouse_cutoff,-64.000000000,-64.000000000,-156.000000000,-146.000000000,1.000000000,3021.000000000,3011.000000000,3056.465000000,3056.465000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
4,installation_powerhouse_cutoff,-64.000000000,-30.000000000,-146.000000000,-122.000000000,1.000000000,3011.000000000,3011.000000000,3056.465000000,3029.700000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
5,installation_powerhouse_cutoff,-30.000000000,-30.000000000,-122.000000000,-25.400000000,1.000000000,3011.000000000,3011.000000000,3029.700000000,3029.700000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
6,powerhouse_cutoff,-30.000000000,-30.000000000,-25.400000000,-15.400000000,1.000000000,3011.000000000,3021.000000000,3029.700000000,3051.500000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
7,ecological_release_connection,-30.000000000,-30.000000000,-15.400000000,-2.900000000,1.000000000,3021.000000000,3021.000000000,3051.500000000,3047.500000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
8,ecological_release_connection,-30.000000000,-20.000000000,-2.900000000,6.850000000,1.000000000,3021.000000000,3021.000000000,3047.500000000,3047.500000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
9,spillway_cutoff,-20.000000000,-20.000000000,6.850000000,93.600000000,1.000000000,3021.000000000,3021.000000000,3047.500000000,3047.500000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
10,spillway_cutoff,-20.000000000,-35.500000000,93.600000000,150.000000000,1.000000000,3021.000000000,3021.000000000,3047.500000000,3073.510000000,actual neighboring structure faces + source 1 m/3011/3021 constraints,PASS
