interface,instance_a,instance_b,start_coordinates,end_coordinates,thickness_m,true_minimum_gap_m,coincident_contact_area_or_length,shared_node_count,coincident_not_shared_node_count,positive_volume_overlap_pairs,source_basis,status
left_bank_abutment_extension_to_left_subdam_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-64.000000000,-245.700000000,3021.000000000","-64.000000000,-245.700000000,3059.000000000",1.000000000,0.000000000,38.000000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
left_subdam_cutoff_to_installation_powerhouse_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-64.000000000,-156.000000000,3021.000000000","-64.000000000,-156.000000000,3056.465000000",1.000000000,0.000000000,35.465000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
installation_powerhouse_cutoff_to_installation_powerhouse_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-64.000000000,-146.000000000,3011.000000000","-64.000000000,-146.000000000,3056.465000000",1.000000000,0.000000000,45.465000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
installation_powerhouse_cutoff_to_installation_powerhouse_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-30.000000000,-122.000000000,3011.000000000","-30.000000000,-122.000000000,3029.700000000",1.000000000,0.000000000,18.700000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
installation_powerhouse_cutoff_to_powerhouse_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-30.000000000,-25.400000000,3011.000000000","-30.000000000,-25.400000000,3029.700000000",1.000000000,0.000000000,18.700000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
powerhouse_cutoff_to_ecological_release_connection,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-30.000000000,-15.400000000,3021.000000000","-30.000000000,-15.400000000,3051.500000000",1.000000000,0.000000000,30.500000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
ecological_release_connection_to_ecological_release_connection,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-30.000000000,-2.900000000,3021.000000000","-30.000000000,-2.900000000,3047.500000000",1.000000000,0.000000000,26.500000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
ecological_release_connection_to_spillway_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-20.000000000,6.850000000,3021.000000000","-20.000000000,6.850000000,3047.500000000",1.000000000,0.000000000,26.500000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
spillway_cutoff_to_spillway_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN_I,"-20.000000000,93.600000000,3021.000000000","-20.000000000,93.600000000,3047.500000000",1.000000000,0.000000000,26.500000000,4,0,0,generated same-Part station face; exact node-key sweep,PASS
spillway_transition_to_main_cutoff,V15_13_ANTI_SEEPAGE_CHAIN_I,P25_SOLID_CUTOFF_WALL_F13-1,"-35.500000,150.000000,3021.000000","-35.500000,150.000000,3073.510000",1.000000000,0.000000000,26.254998129,0,,0,actual final-INP boundary-face geometry,PASS
main_cutoff_to_geomembrane,P25_SOLID_CUTOFF_WALL_F13-1,V12_UPSTREAM_GEOMEMBRANE-1,"-36.000000,150.000000,3055.000000","-36.000000,445.000000,3073.510000",terminal edge contact,0.000000000,295.000000000,0,,0,actual final-INP boundary-face geometry,PASS
main_cutoff_to_right_bank_curtain,P25_SOLID_CUTOFF_WALL_F13-1,NOT_REPRESENTED,"-35.500000,445.000000,3021.000000",UNRESOLVED,UNDEFINED_BY_SOURCE,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source requires approximately 100 m grout curtain but does not define solid thickness/equivalent boundary,UNRESOLVED
