component_id,bbox,element_count,contained_leaf_sets,physical_touch,classification,status
1,"-600.000000000,-1000.000000000,2600.000000000;900.000000000,-700.000000000,3352.400000000",6242,EXISTING_GEOLOGY_LEAF_SETS,BBOX_TOUCH,INTENDED_SEPARATE_DOMAIN,PASS
2,"-600.000000000,-700.000000000,2600.000000000;900.000000000,150.000000000,3113.600000000",380972,EXISTING_GEOLOGY_LEAF_SETS;INTEGRATED_BACKFILL,BBOX_TOUCH,SAME_DOMAIN_MESH_DISCONNECT,FAIL
3,"-10.000000000,15.000000000,3036.880000000;-8.000000000,20.000000000,3041.720000000",4,EXISTING_GEOLOGY_LEAF_SETS,BBOX_TOUCH,SAME_DOMAIN_MESH_DISCONNECT,FAIL
4,"-600.000000000,150.000000000,2600.000000000;900.000000000,445.000000000,3060.710000000",134967,EXISTING_GEOLOGY_LEAF_SETS,BBOX_TOUCH,SAME_DOMAIN_MESH_DISCONNECT,FAIL
5,"-600.000000000,445.000000000,2600.000000000;900.000000000,850.000000000,3426.400000000",69128,EXISTING_GEOLOGY_LEAF_SETS,BBOX_TOUCH,SAME_DOMAIN_MESH_DISCONNECT,FAIL
6,"-70.850000000,-245.700000000,3056.515000000;-69.500000000,-156.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
7,"-69.500000000,-245.700000000,3056.500000000;-66.750000000,-156.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
8,"-66.750000000,-245.700000000,3056.485000000;-64.000000000,-160.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
9,"-64.000000000,-245.700000000,3056.470000000;-61.750000000,-160.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
10,"-64.000000000,-135.000000000,3053.550000000;-61.750000000,-122.000000000,3056.465000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
11,"-61.750000000,-245.700000000,3056.455000000;-59.500000000,-160.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
12,"-59.500000000,-245.700000000,3056.440000000;-57.250000000,-156.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
13,"-57.250000000,-245.700000000,3056.425000000;-55.850000000,-156.000000000,3059.000000000",1,INTEGRATED_BACKFILL,BBOX_TOUCH,SOURCE_SEPARATE_BACKFILL_DOMAIN,PASS
