part,section_elset,material,element_type,element_count,pore_pressure_dof_present,permeability_assigned,intended_role,status,notes
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_P2_QUARTZ_SANDSTONE,P2_QUARTZITE,C3D8R:6242,6242,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_FOUNDATION_GRANITE,FRESH_GRANITE,C3D8R:65912,65912,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L01_Q4DEL,Q4DEL,C3D8P:34832,34832,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L03_Q4AL_SGR1,Q4AL_SGR1,C3D8P:17792,17792,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L05_Q3AL_IV2,Q3AL_IV2,C3D8P:17689,17689,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L06_Q3AL_IV1,Q3AL_IV1,C3D8P:42476,42476,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L07_Q3AL_III,Q3AL_III,C3D8P:20102,20102,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L08_Q3AL_II,Q3AL_II,C3D8P:19932,19932,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L09_Q3AL_I,Q3AL_I,C3D8P:10923,10923,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L10_Q2FGL_V,Q2FGL_V,C3D8P:19482,19482,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L11_Q2FGL_IV,Q2FGL_IV,C3D8P:18832,18832,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L12_Q2FGL_III,Q2FGL_III,C3D8P:28248,28248,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L13_Q2FGL_II,Q2FGL_II,C3D8P:18832,18832,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_LEFT_L14_Q2FGL_I,Q2FGL_I,C3D8P:65912,65912,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R02_Q4AL_SGR2,Q4AL_SGR2,C3D8P:4422,4422,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R05_Q3AL_IV2,Q3AL_IV2,C3D8P:4422,4422,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R06_Q3AL_IV1,Q3AL_IV1,C3D8P:8844,8844,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R07_Q3AL_III,Q3AL_III,C3D8P:4422,4422,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R08_Q3AL_II,Q3AL_II,C3D8P:4422,4422,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R09_Q3AL_I,Q3AL_I,C3D8P:4422,4422,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R10_Q2FGL_V,Q2FGL_V,C3D8P:8696,8696,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R11_Q2FGL_IV,Q2FGL_IV,C3D8P:8480,8480,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R12_Q2FGL_III,Q2FGL_III,C3D8P:8099,8099,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R13_Q2FGL_II,Q2FGL_II,C3D8P:7498,7498,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_R14_Q2FGL_I,Q2FGL_I,C3D8P:10472,10472,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R:12224,12224,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R:6068,6068,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R:24272,24272,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIVER_FRESH_GRANITE,FRESH_GRANITE,C3D8R:18204,18204,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_Q4_COLLUVIAL,Q4DEL,C3D8P:1848,1848,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_R04_Q3AL_V,Q3AL_V,C3D8P:3696,3696,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_HIGH_TERRACE_COVER,Q3AL_V,C3D8P:392,392,YES,YES,seepage domain,PASS,RETAIN
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R:7392,7392,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R:3816,3816,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R:26112,26112,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
V15_7_FOUNDATION_GEOLOGY,GEO_RIGHT_FRESH_GRANITE,FRESH_GRANITE,C3D8R:25872,25872,NO,NO,seepage domain,FAIL,HYDRAULIC_CALIBRATION_REQUIRED
