Instance,Part,Element count,C3D8 bad count,Min Jacobian,Max Jacobian,Volume status,Status
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,518,0,2.029004223,7.488567853,ALL_POSITIVE,PASS
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,1480,0,1.352537194,1.824897105,ALL_POSITIVE,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,4292,0,1.845778797,11.160543641,ALL_POSITIVE,PASS
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,1184,0,2.516205171,3.737690844,ALL_POSITIVE,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,1702,0,2.362603478,8.779373274,ALL_POSITIVE,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,1628,0,0.981149914,3.995367716,ALL_POSITIVE,PASS
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,1998,0,2.847672263,12.088750596,ALL_POSITIVE,PASS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,1036,0,1.775910893,6.036057121,ALL_POSITIVE,PASS
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,444,0,3.805482782,6.491505123,ALL_POSITIVE,PASS
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,1110,0,2.446921209,3.687975000,ALL_POSITIVE,PASS
P25_SOLID_CUTOFF_WALL_F13-1,V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,31376,0,0.058515000,0.062312500,ALL_POSITIVE,PASS
V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,2400,0,0.171970277,0.287625000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,9434,0,0.121523375,0.927724000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,9434,0,0.121523375,0.927724000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,9434,0,0.121523375,0.927724000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,9434,0,0.121523375,0.927724000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,3462,0,0.687935742,0.944444500,ALL_POSITIVE,PASS
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,1798,0,0.612804400,0.620965845,ALL_POSITIVE,PASS
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,702,0,7.850598000,7.854561000,ALL_POSITIVE,PASS
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,1694,0,0.995000000,1.000000000,ALL_POSITIVE,PASS
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,360,0,23.865000000,23.870000000,ALL_POSITIVE,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,960,0,0.369140625,0.369140625,ALL_POSITIVE,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,720,0,0.492187500,0.492187500,ALL_POSITIVE,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,720,0,0.492187500,0.492187500,ALL_POSITIVE,PASS
