Material name,Section,Element set,permeability value,Unit,Source,Classification,Element count,Element types
P25_BAKESHALI,V15_5_ALL,V15_5_ALL,"0.000295,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,4292,C3D6P;C3D8P
P25_BAKESHALI,V15_5_ALL,V15_5_ALL,"0.000295,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1702,C3D6P;C3D8P
P25_BAKESHALI,V15_5_ALL,V15_5_ALL,"0.000295,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1628,C3D6P;C3D8P
P25_PAISHUITI,V15_5_ALL,V15_5_ALL,"0.0225,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,518,C3D8P
P25_PAISHUITI,V15_5_ALL,V15_5_ALL,"0.0225,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1184,C3D8P
P25_FANLV,V15_5_ALL,V15_5_ALL,"4.47e-05,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1480,C3D6P;C3D8P
P25_BIQILIAO,V15_5_ALL,V15_5_ALL,"5.1e-07,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1110,C3D6P;C3D8P
P25_WEIYANJITI,V15_5_ALL,V15_5_ALL,"0.00051,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1998,C3D6P;C3D8P
P25_WEIYANJITI,V15_5_ALL,V15_5_ALL,"0.00051,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,444,C3D6P;C3D8P
P25_WEIYANSHALI,V15_5_ALL,V15_5_ALL,"0.000295,0.",m^2; active deck convention,active *Material/*Permeability definition; no new coefficient assigned,ENGINEERING_ASSUMPTION,1036,C3D6P;C3D8P
