instance,part,material,element_type,element_count,pore_pressure_dof_present,permeability_assigned,intended_role,status,notes
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,P25_PAISHUITI,C3D8P,518,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,P25_FANLV,C3D6P,518,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,P25_FANLV,C3D8P,962,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,P25_BAKESHALI,C3D6P,222,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,P25_BAKESHALI,C3D8P,4070,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,P25_PAISHUITI,C3D8P,1184,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,P25_BAKESHALI,C3D6P,148,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,P25_BAKESHALI,C3D8P,1554,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,P25_BAKESHALI,C3D6P,74,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,P25_BAKESHALI,C3D8P,1554,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,P25_WEIYANJITI,C3D6P,296,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,P25_WEIYANJITI,C3D8P,1702,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,P25_WEIYANSHALI,C3D6P,148,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,P25_WEIYANSHALI,C3D8P,888,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,P25_WEIYANJITI,C3D6P,148,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,P25_WEIYANJITI,C3D8P,296,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,P25_BIQILIAO,C3D6P,74,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,P25_BIQILIAO,C3D8P,1036,YES,YES,structural-only,PASS,structural-only regions are not converted automatically
P25_SOLID_CUTOFF_WALL_F13-1,V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,P25_FANGSHENQIANG,C3D8P,31376,YES,YES,impermeable barrier,PASS,structural-only regions are not converted automatically
V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,GEOMEMBRANE,C3D8P,2400,YES,YES,impermeable barrier,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,CONCRETE,C3D8R,9434,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,CONCRETE,C3D8R,9434,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,CONCRETE,C3D8R,9434,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,CONCRETE,C3D8R,9434,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,CONCRETE,C3D8R,3462,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,CONCRETE,C3D8R,1798,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,DAM_ROCKFILL,C3D8R,702,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,CONCRETE,C3D8R,1694,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,DAM_ROCKFILL,C3D8R,360,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,CONCRETE,C3D8R,960,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,CONCRETE,C3D8R,720,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,CONCRETE,C3D8R,1280,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,CONCRETE,C3D8R,2240,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,CONCRETE,C3D8R,1260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,CONCRETE,C3D8R,2730,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,CONCRETE,C3D8R,8385,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,CONCRETE,C3D8R,9360,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,CONCRETE,C3D8R,1820,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,CONCRETE,C3D8R,2520,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,CONCRETE,C3D8R,2100,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,CONCRETE,C3D8R,2100,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,CONCRETE,C3D8R,1600,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,CONCRETE,C3D8R,1600,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
