scope,instance,part,active_v15_15,element_types,element_count,node_count,internal_connected_components,global_bbox,coordinate_coincident_nodes_to_geology,assembly_shared_nodes,assembly_shared_faces,topology_check,classification,source_evidence,resolution
assembly_instance,P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,YES,C3D8P,518,975,1,"25.475100,42.000000;150.000039,445.000039;3055.000000,3062.040004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,YES,"C3D6P,C3D8P",1480,2625,1,"-20.815100,26.061800;150.000039,445.000039;3055.000000,3075.800004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,YES,"C3D6P,C3D8P",4292,5850,1,"-28.500000,29.937300;150.000039,445.000039;3057.780000,3077.650004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,YES,C3D8P,1184,2550,1,"-19.817200,27.235800;150.000039,445.000039;3055.930000,3075.800004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,YES,"C3D6P,C3D8P",1702,2400,1,"-34.500000,-10.493100;150.000039,445.000039;3055.870000,3071.660004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,YES,"C3D6P,C3D8P",1628,3375,1,"-34.500000,44.486400;150.000039,445.000039;3055.000000,3079.500004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,YES,"C3D6P,C3D8P",1998,2775,1,"-72.341900,-36.500000;150.000039,445.000039;3057.780000,3071.660004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,YES,"C3D6P,C3D8P",1036,1575,1,"-80.500000,-50.627500;150.000039,445.000039;3058.070000,3063.390004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,YES,"C3D6P,C3D8P",444,900,1,"-87.500000,-66.000000;150.000039,445.000039;3058.700000,3067.030004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,YES,"C3D6P,C3D8P",1110,2325,1,"-90.500000,-36.500000;150.000039,445.000039;3059.170000,3073.510004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,P25_SOLID_CUTOFF_WALL_F13-1,V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,YES,C3D8P,31376,48411,1,"-36.000000,-35.000000;150.000038,445.000039;3021.000000,3073.510004",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,YES,C3D8P,2400,5050,1,"-90.500000,-36.000000;150.000000,445.000000;3055.000000,3073.510000",0,0,0,PASS_LOCAL_MESH; assembly does not share nodes across instances,INTENDED_SEPARATE_HYDRAULIC_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Kept with physical minimum-Z support and transformed upstream/downstream pore-pressure sets.
assembly_instance,V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,NO,C3D8R,9434,13656,10,"-30.000000,26.500000;-122.000000,-95.350000;3029.700000,3081.000000",0,0,0,SOURCE_CAUSED_DISCONNECTED_REGION,EXCLUDED_NONHYDRAULIC_STRUCTURAL_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Excluded from V15.15 S00 active Assembly; part definition and geometry remain preserved.
assembly_instance,V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,NO,C3D8R,9434,13656,10,"-30.000000,26.500000;-95.350000,-68.700000;3029.700000,3081.000000",0,0,0,SOURCE_CAUSED_DISCONNECTED_REGION,EXCLUDED_NONHYDRAULIC_STRUCTURAL_DOMAIN,V15.13 S00 input + CAE structure audit + transformed mesh scan,Excluded from V15.15 S00 active Assembly; part definition and geometry remain preserved.
