structure,opening,x_range,y_range,z_range,test_point,void_exists,status,basis
POWERHOUSE,V15_2_POWERHOUSE_UNIT_01_I upstream intake opening,-30.000..-25.000,-119.000..-98.350,3035.700..3065.000,"-27.500,-108.675,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_01_I internal water passage,-25.000..21.500,-119.000..-98.350,3035.700..3077.000,"-1.750,-108.675,3055.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_01_I downstream draft-tube outlet,21.500..26.500,-119.000..-98.350,3035.700..3065.000,"24.000,-108.675,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_02_I upstream intake opening,-30.000..-25.000,-92.350..-71.700,3035.700..3065.000,"-27.500,-82.025,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_02_I internal water passage,-25.000..21.500,-92.350..-71.700,3035.700..3077.000,"-1.750,-82.025,3055.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_02_I downstream draft-tube outlet,21.500..26.500,-92.350..-71.700,3035.700..3065.000,"24.000,-82.025,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_03_I upstream intake opening,-30.000..-25.000,-65.700..-45.050,3035.700..3065.000,"-27.500,-55.375,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_03_I internal water passage,-25.000..21.500,-65.700..-45.050,3035.700..3077.000,"-1.750,-55.375,3055.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_03_I downstream draft-tube outlet,21.500..26.500,-65.700..-45.050,3035.700..3065.000,"24.000,-55.375,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_04_I upstream intake opening,-30.000..-25.000,-39.050..-18.400,3035.700..3065.000,"-27.500,-28.725,3050.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_04_I internal water passage,-25.000..21.500,-39.050..-18.400,3035.700..3077.000,"-1.750,-28.725,3055.000",YES,PASS,point-in-solid absence
POWERHOUSE,V15_2_POWERHOUSE_UNIT_04_I downstream draft-tube outlet,21.500..26.500,-39.050..-18.400,3035.700..3065.000,"24.000,-28.725,3050.000",YES,PASS,point-in-solid absence
SPILLWAY,open bay 01,-20.000..10.000,20.000..30.000,3048.300..3079.000,"-5.000,25.000,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 02,-20.000..10.000,33.625..43.625,3048.300..3079.000,"-5.000,38.625,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 03,-20.000..10.000,47.250..57.250,3048.300..3079.000,"-5.000,52.250,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 04,-20.000..10.000,60.875..70.875,3048.300..3079.000,"-5.000,65.875,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 05,-20.000..10.000,74.500..84.500,3048.300..3079.000,"-5.000,79.500,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 06,-20.000..10.000,88.125..98.125,3048.300..3079.000,"-5.000,93.125,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 07,-20.000..10.000,101.750..111.750,3048.300..3079.000,"-5.000,106.750,3060.000",YES,PASS,pier/opening layout
SPILLWAY,open bay 08,-20.000..10.000,115.375..125.375,3048.300..3079.000,"-5.000,120.375,3060.000",YES,PASS,pier/opening layout
ECO_RELEASE,open bay 01,-31.000..-19.000,-15.000..-2.500,3058.000..3070.000,"-25.000,-8.750,3063.000",YES,PASS,low-level opening layout
ECO_RELEASE,open bay 02,-31.000..-19.000,2.500..15.000,3058.000..3070.000,"-25.000,8.750,3063.000",YES,PASS,low-level opening layout
LEFT_BANK_SUBDAM,fishway crossing,-102.000..-64.000,-77.000..-70.000,3030.000..3060.000,"-83.000,-73.500,3045.000",YES,PASS,reserved sub-dam void
FISHWAY,nominal clear passage,-115.000..-64.000,-75.000..-71.000,3044.500..3046.500,"-85.000,-73.000,3045.500",YES,PASS,channel passage
