instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,status
LEFT_P2_QUARTZ_SANDSTONE_I,V15_3_BOOLEAN_CUT_LEFT_P2_QUARTZ_SANDSTONE,RETAINED_GEOLOGY,-600.000,900.000,-1000.000,-700.000,2600.000,3352.400,1500.000,300.000,752.400,BOOLEAN_CUT_RESULT
LEFT_FOUNDATION_GRANITE_I,LEFT_FOUNDATION_GRANITE,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2600.000,2869.200,1500.000,850.000,269.200,RETAINED
LEFT_L01_Q4DEL_I,V15_3_BOOLEAN_CUT_LEFT_L01_Q4DEL,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3042.160,3113.600,1500.000,850.000,71.440,BOOLEAN_CUT_RESULT
LEFT_L03_Q4AL_SGR1_I,V15_3_BOOLEAN_CUT_LEFT_L03_Q4AL_SGR1,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3036.586,3091.476,1500.000,850.000,54.890,BOOLEAN_CUT_RESULT
LEFT_L05_Q3AL_IV2_I,V15_3_BOOLEAN_CUT_LEFT_L05_Q3AL_IV2,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3031.851,3080.698,1500.000,850.000,48.847,BOOLEAN_CUT_RESULT
LEFT_L06_Q3AL_IV1_I,V15_3_BOOLEAN_CUT_LEFT_L06_Q3AL_IV1,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3019.948,3071.542,1500.000,850.000,51.594,BOOLEAN_CUT_RESULT
LEFT_L07_Q3AL_III_I,V15_3_BOOLEAN_CUT_LEFT_L07_Q3AL_III,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3010.659,3048.523,1500.000,850.000,37.864,BOOLEAN_CUT_RESULT
LEFT_L08_Q3AL_II_I,V15_3_BOOLEAN_CUT_LEFT_L08_Q3AL_II,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2998.185,3035.145,1500.000,850.000,36.960,BOOLEAN_CUT_RESULT
LEFT_L09_Q3AL_I_I,LEFT_L09_Q3AL_I,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2989.640,3018.657,1500.000,850.000,29.017,RETAINED
LEFT_L10_Q2FGL_V_I,LEFT_L10_Q2FGL_V,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2965.283,3008.932,1500.000,850.000,43.649,RETAINED
LEFT_L11_Q2FGL_IV_I,LEFT_L11_Q2FGL_IV,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2935.959,2993.122,1500.000,850.000,57.163,RETAINED
LEFT_L12_Q2FGL_III_I,LEFT_L12_Q2FGL_III,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2893.611,2977.119,1500.000,850.000,83.509,RETAINED
LEFT_L13_Q2FGL_II_I,LEFT_L13_Q2FGL_II,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2862.406,2954.010,1500.000,850.000,91.604,RETAINED
