structure,opening,x_range,y_range,z_range,test_point,void_exists,status,target,basis
POWERHOUSE,V15_3_POWERHOUSE_UNIT_01_I upstream intake opening,-30.000..-25.000,-119.000..-98.350,3035.700..3065.000,"-27.500,-108.675,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_01_I internal water passage,-25.000..21.500,-119.000..-98.350,3035.700..3077.000,"-1.750,-108.675,3055.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_01_I downstream draft-tube outlet,21.500..26.500,-119.000..-98.350,3035.700..3065.000,"24.000,-108.675,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_02_I upstream intake opening,-30.000..-25.000,-92.350..-71.700,3035.700..3065.000,"-27.500,-82.025,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_02_I internal water passage,-25.000..21.500,-92.350..-71.700,3035.700..3077.000,"-1.750,-82.025,3055.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_02_I downstream draft-tube outlet,21.500..26.500,-92.350..-71.700,3035.700..3065.000,"24.000,-82.025,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_03_I upstream intake opening,-30.000..-25.000,-65.700..-45.050,3035.700..3065.000,"-27.500,-55.375,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_03_I internal water passage,-25.000..21.500,-65.700..-45.050,3035.700..3077.000,"-1.750,-55.375,3055.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_03_I downstream draft-tube outlet,21.500..26.500,-65.700..-45.050,3035.700..3065.000,"24.000,-55.375,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_04_I upstream intake opening,-30.000..-25.000,-39.050..-18.400,3035.700..3065.000,"-27.500,-28.725,3050.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_04_I internal water passage,-25.000..21.500,-39.050..-18.400,3035.700..3077.000,"-1.750,-28.725,3055.000",YES,PASS,source void,point-in-solid absence
POWERHOUSE,V15_3_POWERHOUSE_UNIT_04_I downstream draft-tube outlet,21.500..26.500,-39.050..-18.400,3035.700..3065.000,"24.000,-28.725,3050.000",YES,PASS,source void,point-in-solid absence
SPILLWAY,open bay 01,-20.000..10.000,20.000..27.000,3047.500..3055.230,"-5.000,23.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 02,-20.000..10.000,30.000..37.000,3047.500..3055.230,"-5.000,33.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 03,-20.000..10.000,40.000..47.000,3047.500..3055.230,"-5.000,43.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 04,-20.000..10.000,50.000..57.000,3047.500..3055.230,"-5.000,53.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 05,-20.000..10.000,60.000..67.000,3047.500..3055.230,"-5.000,63.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 06,-20.000..10.000,70.000..77.000,3047.500..3055.230,"-5.000,73.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 07,-20.000..10.000,80.000..87.000,3047.500..3055.230,"-5.000,83.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
SPILLWAY,open bay 08,-20.000..10.000,90.000..97.000,3047.500..3055.230,"-5.000,93.500,3051.000",YES,PASS,7.0 x 7.73 m,7 m clear corridor
ECO_RELEASE,working bay 01,-35.000..-5.000,-12.000..-9.500,3058.000..3063.000,"-20.000,-10.750,3060.000",YES,PASS,2.5 x 5.0 m,2.5 m x 5.0 m clear void
ECO_RELEASE,working bay 02,-35.000..-5.000,-7.000..-4.500,3058.000..3063.000,"-20.000,-5.750,3060.000",YES,PASS,2.5 x 5.0 m,2.5 m x 5.0 m clear void
LEFT_BANK_SUBDAM,fishway crossing,405.120..412.120,-593.250..-590.750,3059.000..3066.000,"408.000,-592.000,3062.000",YES,PASS,2.5 x 7.0 m,subtracted true void
FISHWAY,nominal clear passage,30.000..45.000,-95.000..-93.000,3053.500..3055.000,"37.500,-94.000,3054.000",YES,PASS,2.0 m,2 m channel clear
