instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,nodes,elements,mesh_status
LEFT_P2_QUARTZ_SANDSTONE_I,V15_3_BOOLEAN_CUT_LEFT_P2_QUARTZ_SANDSTONE,RETAINED_GEOLOGY,-600.000,900.000,-1000.000,-700.000,2600.000,3352.400,504,296,RETAINED
LEFT_FOUNDATION_GRANITE_I,LEFT_FOUNDATION_GRANITE,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2600.000,2869.200,1428,960,RETAINED
LEFT_L01_Q4DEL_I,V15_4_ORPHAN_MESH_EXCAVATION_RESULT_V15_3_BOOLEAN_CUT_LEFT_L01_Q4DEL,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3042.160,3113.600,966,492,V15_4_ORPHAN_MESH_EXCAVATION_RESULT
LEFT_L03_Q4AL_SGR1_I,V15_4_ORPHAN_MESH_EXCAVATION_RESULT_V15_3_BOOLEAN_CUT_LEFT_L03_Q4AL_SGR1,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3036.586,3091.476,568,234,V15_4_ORPHAN_MESH_EXCAVATION_RESULT
LEFT_L05_Q3AL_IV2_I,V15_3_BOOLEAN_CUT_LEFT_L05_Q3AL_IV2,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3031.851,3080.698,676,283,RETAINED
LEFT_L06_Q3AL_IV1_I,V15_4_ORPHAN_MESH_EXCAVATION_RESULT_V15_3_BOOLEAN_CUT_LEFT_L06_Q3AL_IV1,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3019.948,3071.542,1006,555,V15_4_ORPHAN_MESH_EXCAVATION_RESULT
LEFT_L07_Q3AL_III_I,V15_3_BOOLEAN_CUT_LEFT_L07_Q3AL_III,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,3010.659,3048.523,714,318,RETAINED
LEFT_L08_Q3AL_II_I,V15_3_BOOLEAN_CUT_LEFT_L08_Q3AL_II,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2998.185,3035.145,714,319,RETAINED
LEFT_L09_Q3AL_I_I,LEFT_L09_Q3AL_I,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2989.640,3018.657,714,320,RETAINED
LEFT_L10_Q2FGL_V_I,LEFT_L10_Q2FGL_V,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2965.283,3008.932,1071,640,RETAINED
LEFT_L11_Q2FGL_IV_I,LEFT_L11_Q2FGL_IV,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2935.959,2993.122,1071,640,RETAINED
LEFT_L12_Q2FGL_III_I,LEFT_L12_Q2FGL_III,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2893.611,2977.119,1071,640,RETAINED
LEFT_L13_Q2FGL_II_I,LEFT_L13_Q2FGL_II,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2862.406,2954.010,1071,640,RETAINED
LEFT_L14_Q2FGL_I_I,LEFT_L14_Q2FGL_I,RETAINED_GEOLOGY,-600.000,900.000,-700.000,150.000,2738.200,2936.980,1785,1280,RETAINED
RIVER_R02_Q4AL_SGR2_I,RIVER_R02_Q4AL_SGR2,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3050.699,3060.708,378,160,RETAINED
RIVER_R05_Q3AL_IV2_I,RIVER_R05_Q3AL_IV2,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3048.788,3060.351,378,160,RETAINED
RIVER_R06_Q3AL_IV1_I,RIVER_R06_Q3AL_IV1,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3043.984,3059.842,567,320,RETAINED
RIVER_R07_Q3AL_III_I,RIVER_R07_Q3AL_III,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3041.192,3058.561,378,160,RETAINED
RIVER_R08_Q3AL_II_I,RIVER_R08_Q3AL_II,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3037.751,3057.816,378,160,RETAINED
RIVER_R09_Q3AL_I_I,RIVER_R09_Q3AL_I,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3035.721,3056.898,378,160,RETAINED
RIVER_R10_Q2FGL_V_I,RIVER_R10_Q2FGL_V,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3030.395,3056.357,567,320,RETAINED
RIVER_R11_Q2FGL_IV_I,RIVER_R11_Q2FGL_IV,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3024.136,3054.937,567,320,RETAINED
RIVER_R12_Q2FGL_III_I,RIVER_R12_Q2FGL_III,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3015.099,3053.268,567,320,RETAINED
RIVER_R13_Q2FGL_II_I,RIVER_R13_Q2FGL_II,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,3008.439,3050.858,567,320,RETAINED
RIVER_R14_Q2FGL_I_I,RIVER_R14_Q2FGL_I,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,2992.035,3049.082,756,480,RETAINED
RIVER_ROCK_STRONG_UNLOADED_I,RIVER_ROCK_STRONG_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,2962.035,3044.708,567,320,RETAINED
RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,2947.035,3014.708,567,320,RETAINED
RIVER_ROCK_DEEP_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,2817.035,2999.708,567,320,RETAINED
RIVER_FRESH_GRANITE_I,RIVER_FRESH_GRANITE,RETAINED_GEOLOGY,-600.000,900.000,150.000,445.000,2600.000,2869.708,567,320,RETAINED
RIGHT_Q4_COLLUVIAL_I,RIGHT_Q4_COLLUVIAL,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3074.900,3426.400,336,140,RETAINED
RIGHT_R04_Q3AL_V_I,RIGHT_R04_Q3AL_V,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3059.400,3423.400,504,280,RETAINED
RIGHT_HIGH_TERRACE_COVER_I,RIGHT_HIGH_TERRACE_COVER,RETAINED_GEOLOGY,-600.000,900.000,615.000,790.000,3271.733,3398.200,168,60,RETAINED
RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_STRONG_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3029.400,3376.400,504,280,RETAINED
RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3014.400,3346.400,336,140,RETAINED
RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,2884.400,3331.400,840,560,RETAINED
RIGHT_FRESH_GRANITE_I,RIGHT_FRESH_GRANITE,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,2600.000,3201.400,1008,700,RETAINED
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,RETAINED_CONTEXT,25.475,42.000,3055.000,3062.036,0.000,295.000,975,518,RETAINED
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,RETAINED_CONTEXT,-20.815,26.062,3055.000,3075.797,0.000,295.000,2625,1480,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,RETAINED_CONTEXT,-28.500,29.937,3057.776,3077.649,0.000,295.000,5850,4292,RETAINED
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,RETAINED_CONTEXT,-19.817,27.236,3055.925,3075.797,0.000,295.000,2550,1184,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,RETAINED_CONTEXT,-34.500,-10.493,3055.871,3071.660,0.000,295.000,2400,1702,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,RETAINED_CONTEXT,-34.500,44.486,3055.000,3079.500,0.000,295.000,3375,1628,RETAINED
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,RETAINED_CONTEXT,-72.342,-36.500,3057.777,3071.660,0.000,295.000,2775,1998,RETAINED
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,RETAINED_CONTEXT,-80.500,-50.628,3058.074,3063.389,0.000,295.000,1575,1036,RETAINED
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,RETAINED_CONTEXT,-87.500,-66.000,3058.702,3067.032,0.000,295.000,900,444,RETAINED
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,RETAINED_CONTEXT,-90.500,-36.500,3059.165,3073.511,0.000,295.000,2325,1110,RETAINED
P25_SOLID_CUTOFF_WALL_F13-1,P25_SOLID_CUTOFF_WALL_F13,RETAINED_CONTEXT,-36.000,-35.000,3021.000,3073.511,0.000,295.000,2250,1036,RETAINED
V12_UPSTREAM_GEOMEMBRANE-1,V12_UPSTREAM_GEOMEMBRANE,RETAINED_CONTEXT,-90.500,-35.500,150.000,445.000,3055.000,3073.511,198,80,RETAINED
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,POWERHOUSE,-30.000,26.500,-122.000,-95.350,3029.700,3081.000,13656,9434,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,POWERHOUSE,-30.000,26.500,-95.350,-68.700,3029.700,3081.000,13656,9434,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,POWERHOUSE,-30.000,26.500,-68.700,-42.050,3029.700,3081.000,13656,9434,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,POWERHOUSE,-30.000,26.500,-42.050,-15.400,3029.700,3081.000,13656,9434,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,INSTALLATION_BAY,-64.000,-30.000,-122.000,-15.400,3056.465,3079.000,20652,14094,NEW_LOCAL_REFINED_MESH
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,TAILWATER,26.500,180.500,-87.000,-15.400,3036.100,3053.000,3780,1798,NEW_LOCAL_REFINED_MESH
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,TAILWATER,26.500,180.500,-87.000,-15.400,3032.100,3052.200,1520,702,NEW_LOCAL_REFINED_MESH
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,TAILWATER,26.500,180.500,-92.500,-88.500,3036.100,3058.000,2808,1694,NEW_LOCAL_REFINED_MESH
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,NATURAL_RIVERBED,180.500,300.500,-87.000,-15.400,3045.000,3056.200,800,360,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,SPILLWAY,-20.000,10.000,27.000,30.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,SPILLWAY,-20.000,10.000,37.000,40.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,SPILLWAY,-20.000,10.000,47.000,50.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,SPILLWAY,-20.000,10.000,57.000,60.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,SPILLWAY,-20.000,10.000,67.000,70.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,SPILLWAY,-20.000,10.000,77.000,80.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,SPILLWAY,-20.000,10.000,87.000,90.000,3047.500,3079.000,1386,840,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,SPILLWAY,-35.000,-20.000,16.000,133.000,3047.500,3079.000,9180,7552,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,SPILLWAY,10.000,38.000,97.000,133.000,3047.500,3079.000,4845,4032,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,SPILLWAY,-20.000,10.000,20.000,27.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
