object_a,object_b,positive_volume_overlap,status,basis
POWERHOUSE,INSTALLATION_BAY,NO,PASS,no positive-volume overlap
POWERHOUSE,TAILWATER,NO,PASS,no positive-volume overlap
POWERHOUSE,SPILLWAY,NO,PASS,no positive-volume overlap
POWERHOUSE,ECO_RELEASE,NO,PASS,no positive-volume overlap
POWERHOUSE,LEFT_BANK_SUBDAM,NO,PASS,no positive-volume overlap
POWERHOUSE,FISHWAY,NO,PASS,no positive-volume overlap
INSTALLATION_BAY,TAILWATER,NO,PASS,no positive-volume overlap
INSTALLATION_BAY,SPILLWAY,NO,PASS,no positive-volume overlap
INSTALLATION_BAY,ECO_RELEASE,NO,PASS,no positive-volume overlap
INSTALLATION_BAY,LEFT_BANK_SUBDAM,NO,PASS,no positive-volume overlap
INSTALLATION_BAY,FISHWAY,YES,UNRESOLVED,no positive-volume overlap
TAILWATER,SPILLWAY,NO,PASS,no positive-volume overlap
TAILWATER,ECO_RELEASE,NO,PASS,no positive-volume overlap
TAILWATER,LEFT_BANK_SUBDAM,NO,PASS,no positive-volume overlap
TAILWATER,FISHWAY,NO,PASS,documented left-side route interface
SPILLWAY,ECO_RELEASE,NO,PASS,no positive-volume overlap
SPILLWAY,LEFT_BANK_SUBDAM,NO,PASS,no positive-volume overlap
SPILLWAY,FISHWAY,NO,PASS,no positive-volume overlap
ECO_RELEASE,LEFT_BANK_SUBDAM,NO,PASS,no positive-volume overlap
ECO_RELEASE,FISHWAY,NO,PASS,no positive-volume overlap
LEFT_BANK_SUBDAM,FISHWAY,YES,PASS,true 2.5 x 7.0 m sub-dam void
RETAINED_V15_3_BOOLEAN_CUT_LEFT_L01_Q4DEL,V15_4_CUTTER_SUPPRESSED,NO_ACTIVE_CUTTER,UNRESOLVED,"orphan-mesh result, no native Boolean certification"
RETAINED_V15_3_BOOLEAN_CUT_LEFT_L03_Q4AL_SGR1,V15_4_CUTTER_SUPPRESSED,NO_ACTIVE_CUTTER,UNRESOLVED,"orphan-mesh result, no native Boolean certification"
RETAINED_V15_3_BOOLEAN_CUT_LEFT_L06_Q3AL_IV1,V15_4_CUTTER_SUPPRESSED,NO_ACTIVE_CUTTER,UNRESOLVED,"orphan-mesh result, no native Boolean certification"
