region,element_type,minimum_element_size,representative_element_size,maximum_element_size,element_count,node_count,refinement_zone,status,reason
powerhouse,C3D8R,0.983,1.173,2.000,37736,54624,M2/M1,PASS,local graded mesh
powerhouse flushing outlets,C3D8R,0.500,0.792,1.000,1432,3500,M1,PASS,local graded mesh
installation bay,C3D8R,0.996,1.321,2.000,14094,20652,M2,PASS,local graded mesh
tailwater,C3D8R,0.800,2.301,4.070,4194,8108,M2/M3,PASS,local graded mesh
spillway,C3D8R,0.990,1.309,2.489,62954,81535,M1/M2,PASS,local graded mesh
ecological release,C3D8R,0.500,1.031,2.000,10008,15140,M1/M2,PASS,local graded mesh
stilling basin,C3D8R,1.250,2.076,2.489,4042,6336,M2,PASS,local graded mesh
left-bank sub-dam,C3D8R,0.833,1.950,2.000,29238,36573,M1/M2,PASS,local graded mesh
fishway,C3D8R,0.500,1.323,2.000,4487,13511,M1/M2,PASS,local graded mesh
right-bank dam,C3D6P;C3D8P,0.925,3.459,6.359,16428,27600,M4,PASS,retained coarse far-field dam mesh
geomembrane,C3D8P,1.000,12.545,29.500,80,198,M4,PASS,retained geomembrane mesh
cutoff wall,C3D8P,0.944,2.912,3.987,1036,2250,M1/M3,UNRESOLVED,retained orphan mesh not directly remeshed
near-foundation geology,C3D8P;C3D8R,0.356,51.611,1724.406,13937,24804,M3,UNRESOLVED,orphan-mesh cut result preserved; direct graded remesh unavailable
far-field geology,C3D8P;C3D8R,0.356,51.611,1724.406,13937,24804,M4,UNRESOLVED,legacy source spacing exceeds desired 8-20 m in places
