source_geology_instance,material_layer,retained_element_count,removed_element_count,replacement_element_count,interface_node_count,conformity_status,M3_M4_classification,mesh_action
LEFT_P2_QUARTZ_SANDSTONE_I,P2_QUARTZITE,296,0,0,0,RETAINED_ORPHAN_NO_REPLACEMENT,NO_LOCAL_REPLACEMENT,retained far/orphan mesh
LEFT_FOUNDATION_GRANITE_I,FRESH_GRANITE,960,0,0,0,RETAINED_ORPHAN_NO_REPLACEMENT,NO_LOCAL_REPLACEMENT,retained far/orphan mesh
LEFT_L01_Q4DEL_I,Q4DEL,185,307,2456,133,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M3_NEAR_FOUNDATION=256;M4_TRANSITION_GEOLOGY=51,M3_NEAR_FOUNDATION;M4_TRANSITION_GEOLOGY
LEFT_L03_Q4AL_SGR1_I,Q4AL_SGR1,91,143,1144,100,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M3_NEAR_FOUNDATION=116;M4_TRANSITION_GEOLOGY=27,M3_NEAR_FOUNDATION;M4_TRANSITION_GEOLOGY
LEFT_L05_Q3AL_IV2_I,Q3AL_IV2,93,190,1520,108,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M3_NEAR_FOUNDATION=67;M4_TRANSITION_GEOLOGY=123,M3_NEAR_FOUNDATION;M4_TRANSITION_GEOLOGY
LEFT_L06_Q3AL_IV1_I,Q3AL_IV1,191,364,2912,150,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M3_NEAR_FOUNDATION=19;M4_TRANSITION_GEOLOGY=345,M3_NEAR_FOUNDATION;M4_TRANSITION_GEOLOGY
LEFT_L07_Q3AL_III_I,Q3AL_III,200,118,944,76,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M3_NEAR_FOUNDATION=14;M4_TRANSITION_GEOLOGY=104,M3_NEAR_FOUNDATION;M4_TRANSITION_GEOLOGY
LEFT_L08_Q3AL_II_I,Q3AL_II,245,74,592,100,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M4_TRANSITION_GEOLOGY=74,M4_TRANSITION_GEOLOGY
LEFT_L09_Q3AL_I_I,Q3AL_I,274,46,368,80,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M4_TRANSITION_GEOLOGY=46,M4_TRANSITION_GEOLOGY
LEFT_L10_Q2FGL_V_I,Q2FGL_V,621,19,152,60,GEOMETRIC_COVERAGE_PRESERVED_HANGING_NODE_RISK,M4_TRANSITION_GEOLOGY=19,M4_TRANSITION_GEOLOGY
LEFT_L11_Q2FGL_IV_I,Q2FGL_IV,640,0,0,0,RETAINED_ORPHAN_NO_REPLACEMENT,NO_LOCAL_REPLACEMENT,retained far/orphan mesh
LEFT_L12_Q2FGL_III_I,Q2FGL_III,640,0,0,0,RETAINED_ORPHAN_NO_REPLACEMENT,NO_LOCAL_REPLACEMENT,retained far/orphan mesh
