instance,part,mesh_class,nodes,elements,source_nodes,source_elements,delta_nodes,delta_elements,remeshed,bbox
LEFT_P2_QUARTZ_SANDSTONE_I,V15_3_BOOLEAN_CUT_LEFT_P2_QUARTZ_SANDSTONE,M3_M4_GEOLOGY,504,296,504,296,0,0,NO,"-600.000000,-1000.000000,2600.000000;900.000000,-700.000000,3352.400000"
LEFT_FOUNDATION_GRANITE_I,LEFT_FOUNDATION_GRANITE,M3_M4_GEOLOGY,1428,960,1428,960,0,0,NO,"-600.000000,-700.000000,2600.000000;900.000000,150.000000,2869.199950"
LEFT_L01_Q4DEL_I,V15_5_REFINED_LEFT_L01_Q4DEL_I,M3_M4_GEOLOGY,4036,2641,966,492,3070,2149,YES,"-600.000000,-700.000000,3042.160000;900.000000,150.000000,3113.600000"
LEFT_L03_Q4AL_SGR1_I,V15_5_REFINED_LEFT_L03_Q4AL_SGR1_I,M3_M4_GEOLOGY,2171,1235,568,234,1603,1001,YES,"-600.000000,-700.000000,3036.586000;900.000000,150.000000,3091.476000"
LEFT_L05_Q3AL_IV2_I,V15_5_REFINED_LEFT_L05_Q3AL_IV2_I,M3_M4_GEOLOGY,2779,1613,676,283,2103,1330,YES,"-600.000000,-700.000000,3031.851000;900.000000,150.000000,3080.698000"
LEFT_L06_Q3AL_IV1_I,V15_5_REFINED_LEFT_L06_Q3AL_IV1_I,M3_M4_GEOLOGY,4470,3103,1006,555,3464,2548,YES,"-600.000000,-700.000000,3019.948000;900.000000,150.000000,3071.542000"
LEFT_L07_Q3AL_III_I,V15_5_REFINED_LEFT_L07_Q3AL_III_I,M3_M4_GEOLOGY,1995,1144,714,318,1281,826,YES,"-600.000000,-700.000000,3010.659000;900.000000,150.000000,3048.523000"
LEFT_L08_Q3AL_II_I,V15_5_REFINED_LEFT_L08_Q3AL_II_I,M3_M4_GEOLOGY,1559,837,714,319,845,518,YES,"-600.000000,-700.000000,2998.185000;900.000000,150.000000,3035.145000"
LEFT_L09_Q3AL_I_I,V15_5_REFINED_LEFT_L09_Q3AL_I_I,M3_M4_GEOLOGY,1255,642,714,320,541,322,YES,"-600.000000,-700.000000,2989.640140;900.000000,150.000000,3018.657470"
LEFT_L10_Q2FGL_V_I,V15_5_REFINED_LEFT_L10_Q2FGL_V_I,M3_M4_GEOLOGY,1315,773,1071,640,244,133,YES,"-600.000000,-700.000000,2965.283200;900.000000,150.000000,3008.932130"
