source_geology_instance,material_layer,source_element_count,rebuilt_element_count,remesh_band_counts,method,hanging_node_risk,overlap_count,status
LEFT_FOUNDATION_GRANITE_I,FRESH_GRANITE,960,960,M4_FAR_FIELD_GEOLOGY=331;M4_REMOTE_BOUNDARY=629,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L01_Q4DEL_I,Q4DEL,2641,40426,M3-A_0-8m=32400;M3-B_8-20m=4240;M3-C_20-40m=2144;M3-D_40-60m=720;M4_FAR_FIELD_GEOLOGY=58;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=800,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L03_Q4AL_SGR1_I,Q4AL_SGR1,1235,18860,M3-A_0-8m=9520;M3-B_8-20m=6912;M3-C_20-40m=1360;M3-D_40-60m=352;M4_FAR_FIELD_GEOLOGY=28;M4_REMOTE_BOUNDARY=32;M4_TRANSITION_GEOLOGY=656,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L05_Q3AL_IV2_I,Q3AL_IV2,1613,24908,M3-A_0-8m=7440;M3-B_8-20m=14896;M3-C_20-40m=1568;M3-D_40-60m=336;M4_FAR_FIELD_GEOLOGY=28;M4_REMOTE_BOUNDARY=32;M4_TRANSITION_GEOLOGY=608,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L06_Q3AL_IV1_I,Q3AL_IV1,3103,47833,M3-A_0-8m=2480;M3-B_8-20m=21296;M3-C_20-40m=22032;M3-D_40-60m=560;M4_FAR_FIELD_GEOLOGY=57;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=1344,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L07_Q3AL_III_I,Q3AL_III,1144,17404,M3-A_0-8m=960;M3-B_8-20m=6240;M3-C_20-40m=9616;M3-D_40-60m=352;M4_FAR_FIELD_GEOLOGY=28;M4_REMOTE_BOUNDARY=32;M4_TRANSITION_GEOLOGY=176,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L08_Q3AL_II_I,Q3AL_II,837,12492,M3-B_8-20m=3600;M3-C_20-40m=6832;M3-D_40-60m=1568;M4_FAR_FIELD_GEOLOGY=28;M4_REMOTE_BOUNDARY=32;M4_TRANSITION_GEOLOGY=432,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L09_Q3AL_I_I,Q3AL_I,642,9357,M3-C_20-40m=6832;M3-D_40-60m=2032;M4_FAR_FIELD_GEOLOGY=29;M4_REMOTE_BOUNDARY=32;M4_TRANSITION_GEOLOGY=432,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L10_Q2FGL_V_I,Q2FGL_V,773,10493,M3-C_20-40m=4000;M3-D_40-60m=4384;M4_FAR_FIELD_GEOLOGY=61;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=1984,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L11_Q2FGL_IV_I,Q2FGL_IV,640,8215,M3-D_40-60m=2928;M4_FAR_FIELD_GEOLOGY=71;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=5152,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L12_Q2FGL_III_I,Q2FGL_III,640,7420,M4_FAR_FIELD_GEOLOGY=124;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=7232,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L13_Q2FGL_II_I,Q2FGL_II,640,6745,M4_FAR_FIELD_GEOLOGY=169;M4_REMOTE_BOUNDARY=64;M4_TRANSITION_GEOLOGY=6512,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_L14_Q2FGL_I_I,Q2FGL_I,1280,3440,M4_FAR_FIELD_GEOLOGY=988;M4_REMOTE_BOUNDARY=148;M4_TRANSITION_GEOLOGY=2304,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
LEFT_P2_QUARTZ_SANDSTONE_I,P2_QUARTZITE,296,296,M4_FAR_FIELD_GEOLOGY=51;M4_REMOTE_BOUNDARY=245,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_FRESH_GRANITE_I,FRESH_GRANITE,700,700,M4_FAR_FIELD_GEOLOGY=185;M4_REMOTE_BOUNDARY=515,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_HIGH_TERRACE_COVER_I,Q3AL_V,60,60,M4_REMOTE_BOUNDARY=60,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_Q4_COLLUVIAL_I,Q4DEL,140,290,M4_FAR_FIELD_GEOLOGY=32;M4_REMOTE_BOUNDARY=98;M4_TRANSITION_GEOLOGY=160,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_R04_Q3AL_V_I,Q3AL_V,280,580,M3-D_40-60m=80;M4_FAR_FIELD_GEOLOGY=74;M4_REMOTE_BOUNDARY=186;M4_TRANSITION_GEOLOGY=240,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_ROCK_DEEP_UNLOADED_I,ROCK_DEEP_UNLOADED,581,1751,M3-C_20-40m=240;M3-D_40-60m=320;M4_FAR_FIELD_GEOLOGY=234;M4_REMOTE_BOUNDARY=269;M4_TRANSITION_GEOLOGY=688,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_ROCK_STRONG_UNLOADED_I,ROCK_STRONG_UNLOADED,280,595,M3-C_20-40m=64;M3-D_40-60m=160;M4_FAR_FIELD_GEOLOGY=92;M4_REMOTE_BOUNDARY=167;M4_TRANSITION_GEOLOGY=112,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIGHT_ROCK_WEAK_UNLOADED_I,ROCK_WEAK_UNLOADED,161,641,M3-B_8-20m=192;M3-C_20-40m=48;M3-D_40-60m=208;M4_FAR_FIELD_GEOLOGY=49;M4_REMOTE_BOUNDARY=80;M4_TRANSITION_GEOLOGY=64,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_FRESH_GRANITE_I,FRESH_GRANITE,320,320,M4_FAR_FIELD_GEOLOGY=116;M4_REMOTE_BOUNDARY=204,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R02_Q4AL_SGR2_I,Q4AL_SGR2,496,7081,M3-A_0-8m=4096;M3-B_8-20m=512;M3-C_20-40m=1296;M3-D_40-60m=624;M4_FAR_FIELD_GEOLOGY=38;M4_REMOTE_BOUNDARY=19;M4_TRANSITION_GEOLOGY=496,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R05_Q3AL_IV2_I,Q3AL_IV2,496,7081,M3-A_0-8m=4096;M3-B_8-20m=512;M3-C_20-40m=1296;M3-D_40-60m=624;M4_FAR_FIELD_GEOLOGY=38;M4_REMOTE_BOUNDARY=19;M4_TRANSITION_GEOLOGY=496,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R06_Q3AL_IV1_I,Q3AL_IV1,992,14162,M3-A_0-8m=8048;M3-B_8-20m=1120;M3-C_20-40m=2640;M3-D_40-60m=1248;M4_FAR_FIELD_GEOLOGY=76;M4_REMOTE_BOUNDARY=38;M4_TRANSITION_GEOLOGY=992,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R07_Q3AL_III_I,Q3AL_III,496,7081,M3-A_0-8m=3536;M3-B_8-20m=880;M3-C_20-40m=1488;M3-D_40-60m=624;M4_FAR_FIELD_GEOLOGY=38;M4_REMOTE_BOUNDARY=19;M4_TRANSITION_GEOLOGY=496,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R08_Q3AL_II_I,Q3AL_II,496,7081,M3-A_0-8m=2480;M3-B_8-20m=1856;M3-C_20-40m=1568;M3-D_40-60m=624;M4_FAR_FIELD_GEOLOGY=38;M4_REMOTE_BOUNDARY=19;M4_TRANSITION_GEOLOGY=496,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R09_Q3AL_I_I,Q3AL_I,496,7081,M3-A_0-8m=2032;M3-B_8-20m=2256;M3-C_20-40m=1616;M3-D_40-60m=624;M4_FAR_FIELD_GEOLOGY=38;M4_REMOTE_BOUNDARY=19;M4_TRANSITION_GEOLOGY=496,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R10_Q2FGL_V_I,Q2FGL_V,957,13602,M3-A_0-8m=3136;M3-B_8-20m=5280;M3-C_20-40m=2832;M3-D_40-60m=1248;M4_FAR_FIELD_GEOLOGY=76;M4_REMOTE_BOUNDARY=38;M4_TRANSITION_GEOLOGY=992,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R11_Q2FGL_IV_I,Q2FGL_IV,915,12930,M3-A_0-8m=1888;M3-B_8-20m=4560;M3-C_20-40m=4320;M3-D_40-60m=1056;M4_FAR_FIELD_GEOLOGY=76;M4_REMOTE_BOUNDARY=38;M4_TRANSITION_GEOLOGY=992,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R12_Q2FGL_III_I,Q2FGL_III,831,11586,M3-A_0-8m=864;M3-B_8-20m=3600;M3-C_20-40m=5136;M3-D_40-60m=832;M4_FAR_FIELD_GEOLOGY=76;M4_REMOTE_BOUNDARY=38;M4_TRANSITION_GEOLOGY=1040,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R13_Q2FGL_II_I,Q2FGL_II,691,9346,M3-A_0-8m=192;M3-B_8-20m=3232;M3-C_20-40m=3648;M3-D_40-60m=1088;M4_FAR_FIELD_GEOLOGY=76;M4_REMOTE_BOUNDARY=38;M4_TRANSITION_GEOLOGY=1072,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_R14_Q2FGL_I_I,Q2FGL_I,858,11163,M3-B_8-20m=3328;M3-C_20-40m=3936;M3-D_40-60m=2064;M4_FAR_FIELD_GEOLOGY=114;M4_REMOTE_BOUNDARY=57;M4_TRANSITION_GEOLOGY=1664,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
RIVER_ROCK_DEEP_UNLOADED_I,ROCK_DEEP_UNLOADED,320,875,M4_FAR_FIELD_GEOLOGY=241;M4_REMOTE_BOUNDARY=42;M4_TRANSITION_GEOLOGY=592,bounded local-block regeneration; global shared-node registry,NONE_WITHIN_MERGED_GEOLOGY,0,PASS
