instance,component_id,node_count,element_count,bounding_box,source_instances,intended_separate_block,disposition,status
V15_6_FOUNDATION_GEOLOGY_I,1,504,296,"-600.000000,-1000.000000,2600.000000;900.000000,-700.000000,3352.400000",LEFT_P2_QUARTZ_SANDSTONE_I,YES,retained as separate geological/material block,PASS
V15_6_FOUNDATION_GEOLOGY_I,2,4874,3321,"-600.000000,-700.000000,2600.000000;900.000000,150.000000,3113.600000",LEFT_FOUNDATION_GRANITE_I;LEFT_L01_Q4DEL_I;LEFT_L03_Q4AL_SGR1_I;LEFT_L05_Q3AL_IV2_I;LEFT_L06_Q3AL_IV1_I;LEFT_L07_Q3AL_III_I;LEFT_L08_Q3AL_II_I;LEFT_L09_Q3AL_I_I;LEFT_L10_Q2FGL_V_I;LEFT_L11_Q2FGL_IV_I;LEFT_L12_Q2FGL_III_I;LEFT_L13_Q2FGL_II_I;LEFT_L14_Q2FGL_I_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,3,51131,43808,"-300.000000,-610.000000,2901.370000;600.000000,150.000000,3098.900000",LEFT_L01_Q4DEL_I;LEFT_L03_Q4AL_SGR1_I;LEFT_L05_Q3AL_IV2_I;LEFT_L06_Q3AL_IV1_I;LEFT_L07_Q3AL_III_I;LEFT_L08_Q3AL_II_I;LEFT_L09_Q3AL_I_I;LEFT_L10_Q2FGL_V_I;LEFT_L11_Q2FGL_IV_I;LEFT_L12_Q2FGL_III_I;LEFT_L13_Q2FGL_II_I;LEFT_L14_Q2FGL_I_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,4,185983,161408,"-150.000000,-520.000000,2996.930000;600.000000,150.000000,3087.450000",LEFT_L01_Q4DEL_I;LEFT_L03_Q4AL_SGR1_I;LEFT_L05_Q3AL_IV2_I;LEFT_L06_Q3AL_IV1_I;LEFT_L07_Q3AL_III_I;LEFT_L08_Q3AL_II_I;LEFT_L09_Q3AL_I_I;LEFT_L10_Q2FGL_V_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,5,50,16,"-10.000000,15.000000,3036.880000;-8.000000,20.000000,3041.720000",LEFT_L05_Q3AL_IV2_I,YES,retained as separate geological/material block,PASS
V15_6_FOUNDATION_GEOLOGY_I,6,2796,1885,"-600.000000,150.000000,2600.000000;900.000000,445.000000,3060.710000",RIVER_FRESH_GRANITE_I;RIVER_R02_Q4AL_SGR2_I;RIVER_R05_Q3AL_IV2_I;RIVER_R06_Q3AL_IV1_I;RIVER_R07_Q3AL_III_I;RIVER_R08_Q3AL_II_I;RIVER_R09_Q3AL_I_I;RIVER_R10_Q2FGL_V_I;RIVER_R11_Q2FGL_IV_I;RIVER_R12_Q2FGL_III_I;RIVER_R13_Q2FGL_II_I;RIVER_R14_Q2FGL_I_I;RIVER_ROCK_DEEP_UNLOADED_I;RIVER_ROCK_STRONG_UNLOADED_I;RIVER_ROCK_WEAK_UNLOADED_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,7,96519,89472,"-150.000000,150.000000,3017.100000;-8.000000,445.000000,3058.910000",RIVER_R02_Q4AL_SGR2_I;RIVER_R05_Q3AL_IV2_I;RIVER_R06_Q3AL_IV1_I;RIVER_R07_Q3AL_III_I;RIVER_R08_Q3AL_II_I;RIVER_R09_Q3AL_I_I;RIVER_R10_Q2FGL_V_I;RIVER_R11_Q2FGL_IV_I;RIVER_R12_Q2FGL_III_I;RIVER_R13_Q2FGL_II_I;RIVER_R14_Q2FGL_I_I;RIVER_ROCK_STRONG_UNLOADED_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,8,29003,25216,"-150.000000,150.000000,2901.350000;300.000000,445.000000,3058.340000",RIVER_R02_Q4AL_SGR2_I;RIVER_R05_Q3AL_IV2_I;RIVER_R06_Q3AL_IV1_I;RIVER_R07_Q3AL_III_I;RIVER_R08_Q3AL_II_I;RIVER_R09_Q3AL_I_I;RIVER_R10_Q2FGL_V_I;RIVER_R11_Q2FGL_IV_I;RIVER_R12_Q2FGL_III_I;RIVER_R13_Q2FGL_II_I;RIVER_R14_Q2FGL_I_I;RIVER_ROCK_DEEP_UNLOADED_I;RIVER_ROCK_STRONG_UNLOADED_I;RIVER_ROCK_WEAK_UNLOADED_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,9,2673,2041,"-600.000000,445.000000,2600.000000;900.000000,850.000000,3426.400000",RIGHT_FRESH_GRANITE_I;RIGHT_HIGH_TERRACE_COVER_I;RIGHT_Q4_COLLUVIAL_I;RIGHT_R04_Q3AL_V_I;RIGHT_ROCK_DEEP_UNLOADED_I;RIGHT_ROCK_STRONG_UNLOADED_I;RIGHT_ROCK_WEAK_UNLOADED_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,10,2656,1808,"-150.000000,445.000000,2887.850000;85.000000,615.000000,3190.600000",RIGHT_Q4_COLLUVIAL_I;RIGHT_R04_Q3AL_V_I;RIGHT_ROCK_DEEP_UNLOADED_I;RIGHT_ROCK_STRONG_UNLOADED_I;RIGHT_ROCK_WEAK_UNLOADED_I,NO,continuous geology component,UNRESOLVED
V15_6_FOUNDATION_GEOLOGY_I,11,1125,768,"-75.000000,445.000000,2985.640000;-35.000000,500.000000,3138.300000",RIGHT_ROCK_DEEP_UNLOADED_I;RIGHT_ROCK_WEAK_UNLOADED_I,NO,continuous geology component,UNRESOLVED
