instance,v15_6_bbox,v15_7_bbox,v15_6_nodes,v15_7_nodes,v15_6_elements,v15_7_elements,changed_node_coordinate_count,status
P25_SOLID_DRAINAGE_BODY_F00-1,"25.475100,3055.000000,0.000000;42.000000,3062.040000,295.000000","25.475100,3055.000000,0.000000;42.000000,3062.040000,295.000000",975,975,518,518,0,PASS
P25_SOLID_FILTER_LAYER_F01-1,"-20.815100,3055.000000,0.000000;26.061800,3075.800000,295.000000","-20.815100,3055.000000,0.000000;26.061800,3075.800000,295.000000",2625,2625,1480,1480,0,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,"-28.500000,3057.780000,0.000000;29.937300,3077.650000,295.000000","-28.500000,3057.780000,0.000000;29.937300,3077.650000,295.000000",5850,5850,4292,4292,0,PASS
P25_SOLID_DRAINAGE_BODY_F03-1,"-19.817200,3055.930000,0.000000;27.235800,3075.800000,295.000000","-19.817200,3055.930000,0.000000;27.235800,3075.800000,295.000000",2550,2550,1184,1184,0,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,"-34.500000,3055.870000,0.000000;-10.493100,3071.660000,295.000000","-34.500000,3055.870000,0.000000;-10.493100,3071.660000,295.000000",2400,2400,1702,1702,0,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,"-34.500000,3055.000000,0.000000;44.486400,3079.500000,295.000000","-34.500000,3055.000000,0.000000;44.486400,3079.500000,295.000000",3375,3375,1628,1628,0,PASS
P25_SOLID_MAIN_ROCKFILL_F09-1,"-72.341900,3057.780000,0.000000;-36.500000,3071.660000,295.000000","-72.341900,3057.780000,0.000000;-36.500000,3071.660000,295.000000",2775,2775,1998,1998,0,PASS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,"-80.500000,3058.070000,0.000000;-50.627500,3063.390000,295.000000","-80.500000,3058.070000,0.000000;-50.627500,3063.390000,295.000000",1575,1575,1036,1036,0,PASS
P25_SOLID_MAIN_ROCKFILL_F11-1,"-87.500000,3058.700000,0.000000;-66.000000,3067.030000,295.000000","-87.500000,3058.700000,0.000000;-66.000000,3067.030000,295.000000",900,900,444,444,0,PASS
P25_SOLID_IMPERMEABLE_FILL_F12-1,"-90.500000,3059.170000,0.000000;-36.500000,3073.510000,295.000000","-90.500000,3059.170000,0.000000;-36.500000,3073.510000,295.000000",2325,2325,1110,1110,0,PASS
P25_SOLID_CUTOFF_WALL_F13-1,"-36.000000,3021.000000,0.000000;-35.000000,3073.510000,295.000000","-36.000000,3021.000000,0.000000;-35.000000,3073.510000,295.000000",48411,48411,31376,31376,0,PASS
V12_UPSTREAM_GEOMEMBRANE-1,"-90.500000,150.000000,3055.000000;-35.500000,445.000000,3073.510000","-90.500000,150.000000,3055.000000;-35.500000,445.000000,3073.510000",5050,5050,2400,2400,0,PASS
V15_4_POWERHOUSE_UNIT_01_I,"-30.000000,-122.000000,3029.700000;26.500000,-95.350000,3081.000000","-30.000000,-122.000000,3029.700000;26.500000,-95.350000,3081.000000",13656,13656,9434,9434,0,PASS
V15_4_POWERHOUSE_UNIT_02_I,"-30.000000,-95.350000,3029.700000;26.500000,-68.700000,3081.000000","-30.000000,-95.350000,3029.700000;26.500000,-68.700000,3081.000000",13656,13656,9434,9434,0,PASS
V15_4_POWERHOUSE_UNIT_03_I,"-30.000000,-68.700000,3029.700000;26.500000,-42.050000,3081.000000","-30.000000,-68.700000,3029.700000;26.500000,-42.050000,3081.000000",13656,13656,9434,9434,0,PASS
V15_4_POWERHOUSE_UNIT_04_I,"-30.000000,-42.050000,3029.700000;26.500000,-15.400000,3081.000000","-30.000000,-42.050000,3029.700000;26.500000,-15.400000,3081.000000",13656,13656,9434,9434,0,PASS
V15_4_POWERHOUSE_INSTALLATION_BAY_I,"-64.000000,-122.000000,3056.470000;-30.000000,-15.400000,3079.000000","-64.000000,-122.000000,3056.470000;-30.000000,-15.400000,3079.000000",20652,20652,14094,14094,0,PASS
V15_4_TAILWATER_CHANNEL_I,"26.500000,-87.000000,3036.100000;180.500000,-15.400000,3053.000000","26.500000,-87.000000,3036.100000;180.500000,-15.400000,3053.000000",3780,3780,1798,1798,0,PASS
V15_4_TAILWATER_RIVERBED_I,"26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000","26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000",1520,1520,702,702,0,PASS
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,"26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000","26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000",2808,2808,1694,1694,0,PASS
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,"180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000","180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000",800,800,360,360,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,"-20.000000,27.000000,3047.500000;10.000000,30.000000,3079.000000","-20.000000,27.000000,3047.500000;10.000000,30.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,"-20.000000,37.000000,3047.500000;10.000000,40.000000,3079.000000","-20.000000,37.000000,3047.500000;10.000000,40.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,"-20.000000,47.000000,3047.500000;10.000000,50.000000,3079.000000","-20.000000,47.000000,3047.500000;10.000000,50.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,"-20.000000,57.000000,3047.500000;10.000000,60.000000,3079.000000","-20.000000,57.000000,3047.500000;10.000000,60.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,"-20.000000,67.000000,3047.500000;10.000000,70.000000,3079.000000","-20.000000,67.000000,3047.500000;10.000000,70.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,"-20.000000,77.000000,3047.500000;10.000000,80.000000,3079.000000","-20.000000,77.000000,3047.500000;10.000000,80.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,"-20.000000,87.000000,3047.500000;10.000000,90.000000,3079.000000","-20.000000,87.000000,3047.500000;10.000000,90.000000,3079.000000",1386,1386,840,840,0,PASS
V15_4_SPILLWAY_LEFT_ABUTMENT_I,"-35.000000,16.000000,3047.500000;-20.000000,133.000000,3079.000000","-35.000000,16.000000,3047.500000;-20.000000,133.000000,3079.000000",9180,9180,7552,7552,0,PASS
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,"10.000000,97.000000,3047.500000;38.000000,133.000000,3079.000000","10.000000,97.000000,3047.500000;38.000000,133.000000,3079.000000",4845,4845,4032,4032,0,PASS
V15_4_SPILLWAY_LINTEL_01_I,"-20.000000,20.000000,3055.230000;10.000000,27.000000,3079.000000","-20.000000,20.000000,3055.230000;10.000000,27.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_02_I,"-20.000000,30.000000,3055.230000;10.000000,37.000000,3079.000000","-20.000000,30.000000,3055.230000;10.000000,37.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_03_I,"-20.000000,40.000000,3055.230000;10.000000,47.000000,3079.000000","-20.000000,40.000000,3055.230000;10.000000,47.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_04_I,"-20.000000,50.000000,3055.230000;10.000000,57.000000,3079.000000","-20.000000,50.000000,3055.230000;10.000000,57.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_05_I,"-20.000000,60.000000,3055.230000;10.000000,67.000000,3079.000000","-20.000000,60.000000,3055.230000;10.000000,67.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_06_I,"-20.000000,70.000000,3055.230000;10.000000,77.000000,3079.000000","-20.000000,70.000000,3055.230000;10.000000,77.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_07_I,"-20.000000,80.000000,3055.230000;10.000000,87.000000,3079.000000","-20.000000,80.000000,3055.230000;10.000000,87.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_LINTEL_08_I,"-20.000000,90.000000,3055.230000;10.000000,97.000000,3079.000000","-20.000000,90.000000,3055.230000;10.000000,97.000000,3079.000000",6200,6200,5040,5040,0,PASS
V15_4_SPILLWAY_CHUTE_SLAB_I,"10.000000,16.000000,3045.000000;38.000000,133.000000,3047.500000","10.000000,16.000000,3045.000000;38.000000,133.000000,3047.500000",1872,1872,1128,1128,0,PASS
V15_4_SPILLWAY_STILLING_BASIN_I,"38.000000,16.000000,3045.000000;145.000000,133.000000,3047.500000","38.000000,16.000000,3045.000000;145.000000,133.000000,3047.500000",6336,6336,4042,4042,0,PASS
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,"145.000000,16.000000,3037.000000;245.000000,133.000000,3043.000000","145.000000,16.000000,3037.000000;245.000000,133.000000,3043.000000",1050,1050,480,480,0,PASS
V15_4_ECO_RELEASE_BASE_I,"-35.000000,-15.000000,3051.500000;-5.000000,-2.500000,3058.000000","-35.000000,-15.000000,3051.500000;-5.000000,-2.500000,3058.000000",640,640,420,420,0,PASS
V15_4_ECO_RELEASE_LEFT_I,"-35.000000,-15.000000,3058.000000;-5.000000,-12.000000,3079.000000","-35.000000,-15.000000,3058.000000;-5.000000,-12.000000,3079.000000",2728,2728,1890,1890,0,PASS
V15_4_ECO_RELEASE_CENTRAL_I,"-35.000000,-9.500000,3058.000000;-5.000000,-7.000000,3079.000000","-35.000000,-9.500000,3058.000000;-5.000000,-7.000000,3079.000000",2728,2728,1890,1890,0,PASS
V15_4_ECO_RELEASE_RIGHT_I,"-35.000000,-4.500000,3058.000000;-5.000000,-2.500000,3079.000000","-35.000000,-4.500000,3058.000000;-5.000000,-2.500000,3079.000000",2046,2046,1260,1260,0,PASS
V15_4_ECO_RELEASE_LINTEL_01_I,"-35.000000,-12.000000,3063.000000;-5.000000,-9.500000,3079.000000","-35.000000,-12.000000,3063.000000;-5.000000,-9.500000,3079.000000",2108,2108,1440,1440,0,PASS
V15_4_ECO_RELEASE_LINTEL_02_I,"-35.000000,-7.000000,3063.000000;-5.000000,-4.500000,3079.000000","-35.000000,-7.000000,3063.000000;-5.000000,-4.500000,3079.000000",2108,2108,1440,1440,0,PASS
V15_4_ECO_RELEASE_TOP_CAP_I,"-35.000000,-15.000000,3077.000000;-19.000000,-2.500000,3079.000000","-35.000000,-15.000000,3077.000000;-19.000000,-2.500000,3079.000000",714,714,416,416,0,PASS
V15_4_ECO_RELEASE_APPROACH_SLAB_I,"-5.000000,-15.000000,3050.000000;25.000000,-2.500000,3058.000000","-5.000000,-15.000000,3050.000000;25.000000,-2.500000,3058.000000",640,640,420,420,0,PASS
V15_4_ECO_RELEASE_OUTLET_SLAB_I,"25.000000,-15.000000,3050.000000;38.000000,-2.500000,3051.000000","25.000000,-15.000000,3050.000000;38.000000,-2.500000,3051.000000",588,588,338,338,0,PASS
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,"25.000000,-2.500000,3049.000000;38.000000,16.000000,3050.000000","25.000000,-2.500000,3049.000000;38.000000,16.000000,3050.000000",840,840,494,494,0,PASS
V15_4_LEFT_BANK_SUBDAM_I,"-112.000000,-122.000000,3030.000000;-64.000000,-15.000000,3079.000000","-112.000000,-122.000000,3030.000000;-64.000000,-15.000000,3079.000000",36573,36573,29238,29238,0,PASS
