region,unique_element_count,duplicate_membership_count,conflicting_classification_count,missing_classification_count,status
DAM_FILL,39302,0,0,0,PASS
GEOMEMBRANE,2400,0,0,0,PASS
CUTOFF_WALL,31376,0,0,0,PASS
STRUCTURAL_CONCRETE,141073,0,0,0,PASS
M3-A_FOUNDATION_GEOLOGY,38003,0,0,0,PASS
M3-B_FOUNDATION_GEOLOGY,41724,0,0,0,PASS
M3-C_FOUNDATION_GEOLOGY,57307,0,0,0,PASS
M3-D_FOUNDATION_GEOLOGY,36016,0,0,0,PASS
M4_TRANSITION_GEOLOGY,99192,0,0,0,PASS
M4_FAR_FIELD_GEOLOGY,221196,0,0,0,PASS
M4_REMOTE_BOUNDARY,98356,0,0,0,PASS
