part_name,active_instance_name,role,node_count,element_count,active_in_assembly,retained_or_obsolete,notes
P25_SOLID_DAM_SHELL_GRAVEL_F02,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,ENGINEERING_STRUCTURE_OR_CONTEXT,5850,4292,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_DAM_SHELL_GRAVEL_F06,P25_SOLID_DAM_SHELL_GRAVEL_F06-1,ENGINEERING_STRUCTURE_OR_CONTEXT,2400,1702,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_DAM_SHELL_GRAVEL_F08,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,ENGINEERING_STRUCTURE_OR_CONTEXT,3375,1628,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_DRAINAGE_BODY_F00,P25_SOLID_DRAINAGE_BODY_F00-1,ENGINEERING_STRUCTURE_OR_CONTEXT,975,518,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_DRAINAGE_BODY_F03,P25_SOLID_DRAINAGE_BODY_F03-1,ENGINEERING_STRUCTURE_OR_CONTEXT,2550,1184,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_FILTER_LAYER_F01,P25_SOLID_FILTER_LAYER_F01-1,ENGINEERING_STRUCTURE_OR_CONTEXT,2625,1480,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_IMPERMEABLE_FILL_F12,P25_SOLID_IMPERMEABLE_FILL_F12-1,ENGINEERING_STRUCTURE_OR_CONTEXT,2325,1110,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_MAIN_ROCKFILL_F09,P25_SOLID_MAIN_ROCKFILL_F09-1,ENGINEERING_STRUCTURE_OR_CONTEXT,2775,1998,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_MAIN_ROCKFILL_F11,P25_SOLID_MAIN_ROCKFILL_F11-1,ENGINEERING_STRUCTURE_OR_CONTEXT,900,444,YES,RETAINED,active in V15.7 and clean V15.8 assembly
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,ENGINEERING_STRUCTURE_OR_CONTEXT,1575,1036,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_APPROACH_SLAB,V15_4_ECO_RELEASE_APPROACH_SLAB_I,ENGINEERING_STRUCTURE_OR_CONTEXT,640,420,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_BASE,V15_4_ECO_RELEASE_BASE_I,ENGINEERING_STRUCTURE_OR_CONTEXT,640,420,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_CENTRAL_PIER,V15_4_ECO_RELEASE_CENTRAL_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2728,1890,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_LEFT_PIER,V15_4_ECO_RELEASE_LEFT_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2728,1890,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_LINK_TO_BASIN,V15_4_ECO_RELEASE_LINK_TO_BASIN_I,ENGINEERING_STRUCTURE_OR_CONTEXT,840,494,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_LINTEL_01,V15_4_ECO_RELEASE_LINTEL_01_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2108,1440,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_LINTEL_02,V15_4_ECO_RELEASE_LINTEL_02_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2108,1440,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_OUTLET_SLAB,V15_4_ECO_RELEASE_OUTLET_SLAB_I,ENGINEERING_STRUCTURE_OR_CONTEXT,588,338,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_RIGHT_PIER,V15_4_ECO_RELEASE_RIGHT_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2046,1260,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_ECO_RELEASE_TOP_CAP,V15_4_ECO_RELEASE_TOP_CAP_I,ENGINEERING_STRUCTURE_OR_CONTEXT,714,416,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_FISHWAY,V15_4_FISHWAY_I,ENGINEERING_STRUCTURE_OR_CONTEXT,11438,3327,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_FISHWAY_OUTLET_CHAMBER,V15_4_FISHWAY_OUTLET_CHAMBER_I,ENGINEERING_STRUCTURE_OR_CONTEXT,903,400,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_FISHWAY_UPSTREAM_OUTLET,V15_4_FISHWAY_UPSTREAM_OUTLET_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1170,760,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_LEFT_BANK_SUBDAM,V15_4_LEFT_BANK_SUBDAM_I,ENGINEERING_STRUCTURE_OR_CONTEXT,36573,29238,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_INSTALLATION_BAY,V15_4_POWERHOUSE_INSTALLATION_BAY_I,ENGINEERING_STRUCTURE_OR_CONTEXT,20652,14094,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1750,716,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1750,716,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_UNIT_01,V15_4_POWERHOUSE_UNIT_01_I,ENGINEERING_STRUCTURE_OR_CONTEXT,13656,9434,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_UNIT_02,V15_4_POWERHOUSE_UNIT_02_I,ENGINEERING_STRUCTURE_OR_CONTEXT,13656,9434,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_UNIT_03,V15_4_POWERHOUSE_UNIT_03_I,ENGINEERING_STRUCTURE_OR_CONTEXT,13656,9434,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_POWERHOUSE_UNIT_04,V15_4_POWERHOUSE_UNIT_04_I,ENGINEERING_STRUCTURE_OR_CONTEXT,13656,9434,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_CHUTE_SLAB,V15_4_SPILLWAY_CHUTE_SLAB_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1872,1128,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1050,480,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_01,V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_02,V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_03,V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_04,V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_05,V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_06,V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_INTERMEDIATE_PIER_07,V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1386,840,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LEFT_ABUTMENT,V15_4_SPILLWAY_LEFT_ABUTMENT_I,ENGINEERING_STRUCTURE_OR_CONTEXT,9180,7552,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_01,V15_4_SPILLWAY_LINTEL_01_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_02,V15_4_SPILLWAY_LINTEL_02_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_03,V15_4_SPILLWAY_LINTEL_03_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_04,V15_4_SPILLWAY_LINTEL_04_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_05,V15_4_SPILLWAY_LINTEL_05_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_06,V15_4_SPILLWAY_LINTEL_06_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_07,V15_4_SPILLWAY_LINTEL_07_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_LINTEL_08,V15_4_SPILLWAY_LINTEL_08_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6200,5040,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_RIGHT_ABUTMENT,V15_4_SPILLWAY_RIGHT_ABUTMENT_I,ENGINEERING_STRUCTURE_OR_CONTEXT,4845,4032,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_SPILLWAY_STILLING_BASIN,V15_4_SPILLWAY_STILLING_BASIN_I,ENGINEERING_STRUCTURE_OR_CONTEXT,6336,4042,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_TAILWATER_CHANNEL,V15_4_TAILWATER_CHANNEL_I,ENGINEERING_STRUCTURE_OR_CONTEXT,3780,1798,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_TAILWATER_DOWNSTREAM_RIVERBED,V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,ENGINEERING_STRUCTURE_OR_CONTEXT,800,360,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_TAILWATER_LEFT_RETAINING_WALL,V15_4_TAILWATER_LEFT_RETAINING_WALL_I,ENGINEERING_STRUCTURE_OR_CONTEXT,2808,1694,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_4_TAILWATER_RIVERBED,V15_4_TAILWATER_RIVERBED_I,ENGINEERING_STRUCTURE_OR_CONTEXT,1520,702,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,P25_SOLID_CUTOFF_WALL_F13-1,ENGINEERING_STRUCTURE_OR_CONTEXT,48411,31376,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,V12_UPSTREAM_GEOMEMBRANE-1,ENGINEERING_STRUCTURE_OR_CONTEXT,5050,2400,YES,RETAINED,active in V15.7 and clean V15.8 assembly
V15_7_FOUNDATION_GEOLOGY,V15_7_FOUNDATION_GEOLOGY_I,FOUNDATION_GEOLOGY,641193,591794,YES,RETAINED,active in V15.7 and clean V15.8 assembly
