set_scope,set_name,source_provenance,material,section,element_count,notes
PART_LEAF,GEO_LEFT_P2_QUARTZ_SANDSTONE,LEFT_P2_QUARTZ_SANDSTONE_I,P2_QUARTZITE,SEC_GEO_LEFT_P2_QUARTZ_SANDSTONE,6242,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_FOUNDATION_GRANITE,LEFT_FOUNDATION_GRANITE_I,FRESH_GRANITE,SEC_GEO_LEFT_FOUNDATION_GRANITE,65912,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L01_Q4DEL,LEFT_L01_Q4DEL_I,Q4DEL,SEC_GEO_LEFT_L01_Q4DEL,35308,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L03_Q4AL_SGR1,LEFT_L03_Q4AL_SGR1_I,Q4AL_SGR1,SEC_GEO_LEFT_L03_Q4AL_SGR1,17809,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L05_Q3AL_IV2,LEFT_L05_Q3AL_IV2_I,Q3AL_IV2,SEC_GEO_LEFT_L05_Q3AL_IV2,17689,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L06_Q3AL_IV1,LEFT_L06_Q3AL_IV1_I,Q3AL_IV1,SEC_GEO_LEFT_L06_Q3AL_IV1,42476,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L07_Q3AL_III,LEFT_L07_Q3AL_III_I,Q3AL_III,SEC_GEO_LEFT_L07_Q3AL_III,20102,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L08_Q3AL_II,LEFT_L08_Q3AL_II_I,Q3AL_II,SEC_GEO_LEFT_L08_Q3AL_II,19932,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L09_Q3AL_I,LEFT_L09_Q3AL_I_I,Q3AL_I,SEC_GEO_LEFT_L09_Q3AL_I,10923,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L10_Q2FGL_V,LEFT_L10_Q2FGL_V_I,Q2FGL_V,SEC_GEO_LEFT_L10_Q2FGL_V,19482,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L11_Q2FGL_IV,LEFT_L11_Q2FGL_IV_I,Q2FGL_IV,SEC_GEO_LEFT_L11_Q2FGL_IV,18832,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L12_Q2FGL_III,LEFT_L12_Q2FGL_III_I,Q2FGL_III,SEC_GEO_LEFT_L12_Q2FGL_III,28248,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L13_Q2FGL_II,LEFT_L13_Q2FGL_II_I,Q2FGL_II,SEC_GEO_LEFT_L13_Q2FGL_II,18832,mutually exclusive geology leaf
PART_LEAF,GEO_LEFT_L14_Q2FGL_I,LEFT_L14_Q2FGL_I_I,Q2FGL_I,SEC_GEO_LEFT_L14_Q2FGL_I,65912,mutually exclusive geology leaf
PART_LEAF,GEO_RIVER_R02_Q4AL_SGR2,RIVER_R02_Q4AL_SGR2_I,Q4AL_SGR2,SEC_GEO_RIVER_R02_Q4AL_SGR2,4422,mutually exclusive geology leaf
PART_LEAF,GEO_RIVER_R05_Q3AL_IV2,RIVER_R05_Q3AL_IV2_I,Q3AL_IV2,SEC_GEO_RIVER_R05_Q3AL_IV2,4422,mutually exclusive geology leaf
PART_LEAF,GEO_RIVER_R06_Q3AL_IV1,RIVER_R06_Q3AL_IV1_I,Q3AL_IV1,SEC_GEO_RIVER_R06_Q3AL_IV1,8844,mutually exclusive geology leaf
PART_LEAF,GEO_RIVER_R07_Q3AL_III,RIVER_R07_Q3AL_III_I,Q3AL_III,SEC_GEO_RIVER_R07_Q3AL_III,4422,mutually exclusive geology leaf
PART_LEAF,GEO_RIVER_R08_Q3AL_II,RIVER_R08_Q3AL_II_I,Q3AL_II,SEC_GEO_RIVER_R08_Q3AL_II,4422,mutually exclusive geology leaf
