geology_set,original_source_layer,section_name,material_name,element_type,element_count,status
GEO_LEFT_P2_QUARTZ_SANDSTONE,LEFT_P2_QUARTZ_SANDSTONE_I,SEC_GEO_LEFT_P2_QUARTZ_SANDSTONE,P2_QUARTZITE,C3D8R,6242,PASS
GEO_LEFT_FOUNDATION_GRANITE,LEFT_FOUNDATION_GRANITE_I,SEC_GEO_LEFT_FOUNDATION_GRANITE,FRESH_GRANITE,C3D8R,65912,PASS
GEO_LEFT_L01_Q4DEL,LEFT_L01_Q4DEL_I,SEC_GEO_LEFT_L01_Q4DEL,Q4DEL,C3D8P,35308,PASS
GEO_LEFT_L03_Q4AL_SGR1,LEFT_L03_Q4AL_SGR1_I,SEC_GEO_LEFT_L03_Q4AL_SGR1,Q4AL_SGR1,C3D8P,17809,PASS
GEO_LEFT_L05_Q3AL_IV2,LEFT_L05_Q3AL_IV2_I,SEC_GEO_LEFT_L05_Q3AL_IV2,Q3AL_IV2,C3D8P,17689,PASS
GEO_LEFT_L06_Q3AL_IV1,LEFT_L06_Q3AL_IV1_I,SEC_GEO_LEFT_L06_Q3AL_IV1,Q3AL_IV1,C3D8P,42476,PASS
GEO_LEFT_L07_Q3AL_III,LEFT_L07_Q3AL_III_I,SEC_GEO_LEFT_L07_Q3AL_III,Q3AL_III,C3D8P,20102,PASS
GEO_LEFT_L08_Q3AL_II,LEFT_L08_Q3AL_II_I,SEC_GEO_LEFT_L08_Q3AL_II,Q3AL_II,C3D8P,19932,PASS
GEO_LEFT_L09_Q3AL_I,LEFT_L09_Q3AL_I_I,SEC_GEO_LEFT_L09_Q3AL_I,Q3AL_I,C3D8P,10923,PASS
GEO_LEFT_L10_Q2FGL_V,LEFT_L10_Q2FGL_V_I,SEC_GEO_LEFT_L10_Q2FGL_V,Q2FGL_V,C3D8P,19482,PASS
GEO_LEFT_L11_Q2FGL_IV,LEFT_L11_Q2FGL_IV_I,SEC_GEO_LEFT_L11_Q2FGL_IV,Q2FGL_IV,C3D8P,18832,PASS
GEO_LEFT_L12_Q2FGL_III,LEFT_L12_Q2FGL_III_I,SEC_GEO_LEFT_L12_Q2FGL_III,Q2FGL_III,C3D8P,28248,PASS
GEO_LEFT_L13_Q2FGL_II,LEFT_L13_Q2FGL_II_I,SEC_GEO_LEFT_L13_Q2FGL_II,Q2FGL_II,C3D8P,18832,PASS
GEO_LEFT_L14_Q2FGL_I,LEFT_L14_Q2FGL_I_I,SEC_GEO_LEFT_L14_Q2FGL_I,Q2FGL_I,C3D8P,65912,PASS
GEO_RIVER_R02_Q4AL_SGR2,RIVER_R02_Q4AL_SGR2_I,SEC_GEO_RIVER_R02_Q4AL_SGR2,Q4AL_SGR2,C3D8P,4422,PASS
GEO_RIVER_R05_Q3AL_IV2,RIVER_R05_Q3AL_IV2_I,SEC_GEO_RIVER_R05_Q3AL_IV2,Q3AL_IV2,C3D8P,4422,PASS
GEO_RIVER_R06_Q3AL_IV1,RIVER_R06_Q3AL_IV1_I,SEC_GEO_RIVER_R06_Q3AL_IV1,Q3AL_IV1,C3D8P,8844,PASS
GEO_RIVER_R07_Q3AL_III,RIVER_R07_Q3AL_III_I,SEC_GEO_RIVER_R07_Q3AL_III,Q3AL_III,C3D8P,4422,PASS
GEO_RIVER_R08_Q3AL_II,RIVER_R08_Q3AL_II_I,SEC_GEO_RIVER_R08_Q3AL_II,Q3AL_II,C3D8P,4422,PASS
GEO_RIVER_R09_Q3AL_I,RIVER_R09_Q3AL_I_I,SEC_GEO_RIVER_R09_Q3AL_I,Q3AL_I,C3D8P,4422,PASS
GEO_RIVER_R10_Q2FGL_V,RIVER_R10_Q2FGL_V_I,SEC_GEO_RIVER_R10_Q2FGL_V,Q2FGL_V,C3D8P,8696,PASS
GEO_RIVER_R11_Q2FGL_IV,RIVER_R11_Q2FGL_IV_I,SEC_GEO_RIVER_R11_Q2FGL_IV,Q2FGL_IV,C3D8P,8480,PASS
GEO_RIVER_R12_Q2FGL_III,RIVER_R12_Q2FGL_III_I,SEC_GEO_RIVER_R12_Q2FGL_III,Q2FGL_III,C3D8P,8099,PASS
GEO_RIVER_R13_Q2FGL_II,RIVER_R13_Q2FGL_II_I,SEC_GEO_RIVER_R13_Q2FGL_II,Q2FGL_II,C3D8P,7498,PASS
GEO_RIVER_R14_Q2FGL_I,RIVER_R14_Q2FGL_I_I,SEC_GEO_RIVER_R14_Q2FGL_I,Q2FGL_I,C3D8P,10472,PASS
GEO_RIVER_ROCK_STRONG_UNLOADED,RIVER_ROCK_STRONG_UNLOADED_I,SEC_GEO_RIVER_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R,12224,PASS
GEO_RIVER_ROCK_WEAK_UNLOADED,RIVER_ROCK_WEAK_UNLOADED_I,SEC_GEO_RIVER_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R,6068,PASS
GEO_RIVER_ROCK_DEEP_UNLOADED,RIVER_ROCK_DEEP_UNLOADED_I,SEC_GEO_RIVER_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R,24272,PASS
GEO_RIVER_FRESH_GRANITE,RIVER_FRESH_GRANITE_I,SEC_GEO_RIVER_FRESH_GRANITE,FRESH_GRANITE,C3D8R,18204,PASS
GEO_RIGHT_Q4_COLLUVIAL,RIGHT_Q4_COLLUVIAL_I,SEC_GEO_RIGHT_Q4_COLLUVIAL,Q4DEL,C3D8P,1848,PASS
GEO_RIGHT_R04_Q3AL_V,RIGHT_R04_Q3AL_V_I,SEC_GEO_RIGHT_R04_Q3AL_V,Q3AL_V,C3D8P,3696,PASS
GEO_RIGHT_HIGH_TERRACE_COVER,RIGHT_HIGH_TERRACE_COVER_I,SEC_GEO_RIGHT_HIGH_TERRACE_COVER,Q3AL_V,C3D8P,392,PASS
GEO_RIGHT_ROCK_STRONG_UNLOADED,RIGHT_ROCK_STRONG_UNLOADED_I,SEC_GEO_RIGHT_ROCK_STRONG_UNLOADED,ROCK_STRONG_UNLOADED,C3D8R,7392,PASS
GEO_RIGHT_ROCK_WEAK_UNLOADED,RIGHT_ROCK_WEAK_UNLOADED_I,SEC_GEO_RIGHT_ROCK_WEAK_UNLOADED,ROCK_WEAK_UNLOADED,C3D8R,3816,PASS
GEO_RIGHT_ROCK_DEEP_UNLOADED,RIGHT_ROCK_DEEP_UNLOADED_I,SEC_GEO_RIGHT_ROCK_DEEP_UNLOADED,ROCK_DEEP_UNLOADED,C3D8R,26112,PASS
GEO_RIGHT_FRESH_GRANITE,RIGHT_FRESH_GRANITE_I,SEC_GEO_RIGHT_FRESH_GRANITE,FRESH_GRANITE,C3D8R,25872,PASS
