geology_leaf_set,source_provenance,material,section,element_count,node_count,bbox,duplicate_leaf_membership_count,missing_membership_count,status
GEO_LEFT_P2_QUARTZ_SANDSTONE,LEFT_P2_QUARTZ_SANDSTONE_I,P2_QUARTZITE,SEC_GEO_LEFT_P2_QUARTZ_SANDSTONE,6242,7685,"-600.000000,-1000.000000,2600.000000;900.000000,-700.000000,3352.400000",0,0,PASS
GEO_LEFT_FOUNDATION_GRANITE,LEFT_FOUNDATION_GRANITE_I,FRESH_GRANITE,SEC_GEO_LEFT_FOUNDATION_GRANITE,65912,76896,"-600.000000,-700.000000,2600.000000;900.000000,150.000000,2869.200000",0,0,PASS
GEO_LEFT_L01_Q4DEL,LEFT_L01_Q4DEL_I,Q4DEL,SEC_GEO_LEFT_L01_Q4DEL,35308,48195,"-600.000000,-700.000000,3042.160000;900.000000,150.000000,3113.600000",0,0,PASS
GEO_LEFT_L03_Q4AL_SGR1,LEFT_L03_Q4AL_SGR1_I,Q4AL_SGR1,SEC_GEO_LEFT_L03_Q4AL_SGR1,17809,28379,"-600.000000,-700.000000,3036.590000;900.000000,150.000000,3091.480000",0,0,PASS
GEO_LEFT_L05_Q3AL_IV2,LEFT_L05_Q3AL_IV2_I,Q3AL_IV2,SEC_GEO_LEFT_L05_Q3AL_IV2,17689,29254,"-600.000000,-700.000000,3031.850000;900.000000,150.000000,3080.700000",0,0,PASS
GEO_LEFT_L06_Q3AL_IV1,LEFT_L06_Q3AL_IV1_I,Q3AL_IV1,SEC_GEO_LEFT_L06_Q3AL_IV1,42476,55980,"-600.000000,-700.000000,3019.950000;900.000000,150.000000,3071.540000",0,0,PASS
GEO_LEFT_L07_Q3AL_III,LEFT_L07_Q3AL_III_I,Q3AL_III,SEC_GEO_LEFT_L07_Q3AL_III,20102,31068,"-600.000000,-700.000000,3010.660000;900.000000,150.000000,3048.520000",0,0,PASS
GEO_LEFT_L08_Q3AL_II,LEFT_L08_Q3AL_II_I,Q3AL_II,SEC_GEO_LEFT_L08_Q3AL_II,19932,30869,"-600.000000,-700.000000,2998.180000;900.000000,150.000000,3035.140000",0,0,PASS
GEO_LEFT_L09_Q3AL_I,LEFT_L09_Q3AL_I_I,Q3AL_I,SEC_GEO_LEFT_L09_Q3AL_I,10923,21371,"-600.000000,-700.000000,2989.640000;900.000000,150.000000,3018.660000",0,0,PASS
GEO_LEFT_L10_Q2FGL_V,LEFT_L10_Q2FGL_V_I,Q2FGL_V,SEC_GEO_LEFT_L10_Q2FGL_V,19482,29826,"-600.000000,-700.000000,2965.280000;900.000000,150.000000,3008.930000",0,0,PASS
GEO_LEFT_L11_Q2FGL_IV,LEFT_L11_Q2FGL_IV_I,Q2FGL_IV,SEC_GEO_LEFT_L11_Q2FGL_IV,18832,28836,"-600.000000,-700.000000,2935.960000;900.000000,150.000000,2993.120000",0,0,PASS
GEO_LEFT_L12_Q2FGL_III,LEFT_L12_Q2FGL_III_I,Q2FGL_III,SEC_GEO_LEFT_L12_Q2FGL_III,28248,38448,"-600.000000,-700.000000,2893.610000;900.000000,150.000000,2977.120000",0,0,PASS
GEO_LEFT_L13_Q2FGL_II,LEFT_L13_Q2FGL_II_I,Q2FGL_II,SEC_GEO_LEFT_L13_Q2FGL_II,18832,28836,"-600.000000,-700.000000,2862.410000;900.000000,150.000000,2954.010000",0,0,PASS
GEO_LEFT_L14_Q2FGL_I,LEFT_L14_Q2FGL_I_I,Q2FGL_I,SEC_GEO_LEFT_L14_Q2FGL_I,65912,76896,"-600.000000,-700.000000,2738.200000;900.000000,150.000000,2936.980000",0,0,PASS
GEO_RIVER_R02_Q4AL_SGR2,RIVER_R02_Q4AL_SGR2_I,Q4AL_SGR2,SEC_GEO_RIVER_R02_Q4AL_SGR2,4422,8172,"-600.000000,150.000000,3050.700000;900.000000,445.000000,3060.710000",0,0,PASS
GEO_RIVER_R05_Q3AL_IV2,RIVER_R05_Q3AL_IV2_I,Q3AL_IV2,SEC_GEO_RIVER_R05_Q3AL_IV2,4422,8163,"-600.000000,150.000000,3048.790000;900.000000,445.000000,3060.350000",0,0,PASS
GEO_RIVER_R06_Q3AL_IV1,RIVER_R06_Q3AL_IV1_I,Q3AL_IV1,SEC_GEO_RIVER_R06_Q3AL_IV1,8844,12823,"-600.000000,150.000000,3043.980000;900.000000,445.000000,3059.840000",0,0,PASS
GEO_RIVER_R07_Q3AL_III,RIVER_R07_Q3AL_III_I,Q3AL_III,SEC_GEO_RIVER_R07_Q3AL_III,4422,8162,"-600.000000,150.000000,3041.190000;900.000000,445.000000,3058.560000",0,0,PASS
GEO_RIVER_R08_Q3AL_II,RIVER_R08_Q3AL_II_I,Q3AL_II,SEC_GEO_RIVER_R08_Q3AL_II,4422,8168,"-600.000000,150.000000,3037.750000;900.000000,445.000000,3057.820000",0,0,PASS
GEO_RIVER_R09_Q3AL_I,RIVER_R09_Q3AL_I_I,Q3AL_I,SEC_GEO_RIVER_R09_Q3AL_I,4422,8185,"-600.000000,150.000000,3035.720000;900.000000,445.000000,3056.900000",0,0,PASS
GEO_RIVER_R10_Q2FGL_V,RIVER_R10_Q2FGL_V_I,Q2FGL_V,SEC_GEO_RIVER_R10_Q2FGL_V,8696,12662,"-600.000000,150.000000,3030.390000;900.000000,445.000000,3056.360000",0,0,PASS
GEO_RIVER_R11_Q2FGL_IV,RIVER_R11_Q2FGL_IV_I,Q2FGL_IV,SEC_GEO_RIVER_R11_Q2FGL_IV,8480,12462,"-600.000000,150.000000,3024.140000;900.000000,445.000000,3054.940000",0,0,PASS
GEO_RIVER_R12_Q2FGL_III,RIVER_R12_Q2FGL_III_I,Q2FGL_III,SEC_GEO_RIVER_R12_Q2FGL_III,8099,12057,"-600.000000,150.000000,3015.100000;900.000000,445.000000,3053.270000",0,0,PASS
GEO_RIVER_R13_Q2FGL_II,RIVER_R13_Q2FGL_II_I,Q2FGL_II,SEC_GEO_RIVER_R13_Q2FGL_II,7498,11314,"-600.000000,150.000000,3008.440000;900.000000,445.000000,3050.860000",0,0,PASS
GEO_RIVER_R14_Q2FGL_I,RIVER_R14_Q2FGL_I_I,Q2FGL_I,SEC_GEO_RIVER_R14_Q2FGL_I,10472,14390,"-600.000000,150.000000,2992.030000;900.000000,445.000000,3049.080000",0,0,PASS
GEO_RIVER_ROCK_STRONG_UNLOADED,RIVER_ROCK_STRONG_UNLOADED_I,ROCK_STRONG_UNLOADED,SEC_GEO_RIVER_ROCK_STRONG_UNLOADED,12224,15988,"-600.000000,150.000000,2962.030000;900.000000,445.000000,3044.710000",0,0,PASS
GEO_RIVER_ROCK_WEAK_UNLOADED,RIVER_ROCK_WEAK_UNLOADED_I,ROCK_WEAK_UNLOADED,SEC_GEO_RIVER_ROCK_WEAK_UNLOADED,6068,9462,"-600.000000,150.000000,2947.030000;900.000000,445.000000,3014.710000",0,0,PASS
GEO_RIVER_ROCK_DEEP_UNLOADED,RIVER_ROCK_DEEP_UNLOADED_I,ROCK_DEEP_UNLOADED,SEC_GEO_RIVER_ROCK_DEEP_UNLOADED,24272,28386,"-600.000000,150.000000,2817.030000;900.000000,445.000000,2999.710000",0,0,PASS
GEO_RIVER_FRESH_GRANITE,RIVER_FRESH_GRANITE_I,FRESH_GRANITE,SEC_GEO_RIVER_FRESH_GRANITE,18204,22078,"-600.000000,150.000000,2600.000000;900.000000,445.000000,2869.710000",0,0,PASS
GEO_RIGHT_Q4_COLLUVIAL,RIGHT_Q4_COLLUVIAL_I,Q4DEL,SEC_GEO_RIGHT_Q4_COLLUVIAL,1848,3876,"-600.000000,445.000000,3074.900000;900.000000,850.000000,3426.400000",0,0,PASS
GEO_RIGHT_R04_Q3AL_V,RIGHT_R04_Q3AL_V_I,Q3AL_V,SEC_GEO_RIGHT_R04_Q3AL_V,3696,5814,"-600.000000,445.000000,3059.400000;900.000000,850.000000,3423.400000",0,0,PASS
GEO_RIGHT_HIGH_TERRACE_COVER,RIGHT_HIGH_TERRACE_COVER_I,Q3AL_V,SEC_GEO_RIGHT_HIGH_TERRACE_COVER,392,912,"-600.000000,615.000000,3271.730000;900.000000,790.000000,3398.200000",0,0,PASS
GEO_RIGHT_ROCK_STRONG_UNLOADED,RIGHT_ROCK_STRONG_UNLOADED_I,ROCK_STRONG_UNLOADED,SEC_GEO_RIGHT_ROCK_STRONG_UNLOADED,7392,9690,"-600.000000,445.000000,3029.400000;900.000000,850.000000,3376.400000",0,0,PASS
GEO_RIGHT_ROCK_WEAK_UNLOADED,RIGHT_ROCK_WEAK_UNLOADED_I,ROCK_WEAK_UNLOADED,SEC_GEO_RIGHT_ROCK_WEAK_UNLOADED,3816,6015,"-600.000000,445.000000,3014.400000;900.000000,850.000000,3346.400000",0,0,PASS
GEO_RIGHT_ROCK_DEEP_UNLOADED,RIGHT_ROCK_DEEP_UNLOADED_I,ROCK_DEEP_UNLOADED,SEC_GEO_RIGHT_ROCK_DEEP_UNLOADED,26112,29429,"-600.000000,445.000000,2884.400000;900.000000,850.000000,3331.400000",0,0,PASS
GEO_RIGHT_FRESH_GRANITE,RIGHT_FRESH_GRANITE_I,FRESH_GRANITE,SEC_GEO_RIGHT_FRESH_GRANITE,25872,29070,"-600.000000,445.000000,2600.000000;900.000000,850.000000,3201.400000",0,0,PASS
