legacy_part_name,v15_7_node_count,v15_7_element_count,reason_excluded,status
CUTOFF_WALL_POWERHOUSE,56,18,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
ECO_RELEASE_01,40,12,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
ECO_RELEASE_02,40,12,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_01,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_02,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_03,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_04,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_05,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
FISHWAY_SEGMENT_06,12,2,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_FOUNDATION_GRANITE,1428,960,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L01_Q4DEL,1071,542,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L03_Q4AL_SGR1,714,294,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L05_Q3AL_IV2,714,294,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L06_Q3AL_IV1,1071,624,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L07_Q3AL_III,714,320,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L08_Q3AL_II,714,320,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L09_Q3AL_I,714,320,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
LEFT_L10_Q2FGL_V,1071,640,uninstantiated legacy/provenance part; excluded from clean V15.8 model,DOCUMENTED
