geology_leaf_set,v15_8_element_count,v15_9_element_count,material,section,missing_membership_count,duplicate_leaf_membership_count,status,notes
GEO_LEFT_P2_QUARTZ_SANDSTONE,6242,6242,P2_QUARTZITE,SEC_GEO_LEFT_P2_QUARTZ_SANDSTONE,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_FOUNDATION_GRANITE,65912,65912,FRESH_GRANITE,SEC_GEO_LEFT_FOUNDATION_GRANITE,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L01_Q4DEL,35308,35308,Q4DEL,SEC_GEO_LEFT_L01_Q4DEL,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L03_Q4AL_SGR1,17809,17809,Q4AL_SGR1,SEC_GEO_LEFT_L03_Q4AL_SGR1,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L05_Q3AL_IV2,17689,17689,Q3AL_IV2,SEC_GEO_LEFT_L05_Q3AL_IV2,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L06_Q3AL_IV1,42476,42476,Q3AL_IV1,SEC_GEO_LEFT_L06_Q3AL_IV1,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L07_Q3AL_III,20102,20102,Q3AL_III,SEC_GEO_LEFT_L07_Q3AL_III,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L08_Q3AL_II,19932,19932,Q3AL_II,SEC_GEO_LEFT_L08_Q3AL_II,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L09_Q3AL_I,10923,10923,Q3AL_I,SEC_GEO_LEFT_L09_Q3AL_I,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L10_Q2FGL_V,19482,19482,Q2FGL_V,SEC_GEO_LEFT_L10_Q2FGL_V,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L11_Q2FGL_IV,18832,18832,Q2FGL_IV,SEC_GEO_LEFT_L11_Q2FGL_IV,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L12_Q2FGL_III,28248,28248,Q2FGL_III,SEC_GEO_LEFT_L12_Q2FGL_III,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L13_Q2FGL_II,18832,18832,Q2FGL_II,SEC_GEO_LEFT_L13_Q2FGL_II,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_LEFT_L14_Q2FGL_I,65912,65912,Q2FGL_I,SEC_GEO_LEFT_L14_Q2FGL_I,0,0,PASS,V15.8 leaf set and material identity preserved exactly
GEO_RIVER_R02_Q4AL_SGR2,4422,4422,Q4AL_SGR2,SEC_GEO_RIVER_R02_Q4AL_SGR2,0,0,PASS,V15.8 leaf set and material identity preserved exactly
