instance,part_name,v15_8_bbox,v15_9_bbox,changed,reason,source_basis,v15_8_nodes,v15_9_nodes,v15_8_elements,v15_9_elements,status
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,"25.475100,3055.000000,0.000000;42.000000,3062.040000,295.000000","25.475100,3055.000000,0.000000;42.000000,3062.040000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,975,975,518,518,PASS
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,"-20.815100,3055.000000,0.000000;26.061800,3075.800000,295.000000","-20.815100,3055.000000,0.000000;26.061800,3075.800000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2625,2625,1480,1480,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,"-28.500000,3057.780000,0.000000;29.937300,3077.650000,295.000000","-28.500000,3057.780000,0.000000;29.937300,3077.650000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,5850,5850,4292,4292,PASS
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,"-19.817200,3055.930000,0.000000;27.235800,3075.800000,295.000000","-19.817200,3055.930000,0.000000;27.235800,3075.800000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2550,2550,1184,1184,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,"-34.500000,3055.870000,0.000000;-10.493100,3071.660000,295.000000","-34.500000,3055.870000,0.000000;-10.493100,3071.660000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2400,2400,1702,1702,PASS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,"-34.500000,3055.000000,0.000000;44.486400,3079.500000,295.000000","-34.500000,3055.000000,0.000000;44.486400,3079.500000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,3375,3375,1628,1628,PASS
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,"-72.341900,3057.780000,0.000000;-36.500000,3071.660000,295.000000","-72.341900,3057.780000,0.000000;-36.500000,3071.660000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2775,2775,1998,1998,PASS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,"-80.500000,3058.070000,0.000000;-50.627500,3063.390000,295.000000","-80.500000,3058.070000,0.000000;-50.627500,3063.390000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,1575,1575,1036,1036,PASS
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,"-87.500000,3058.700000,0.000000;-66.000000,3067.030000,295.000000","-87.500000,3058.700000,0.000000;-66.000000,3067.030000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,900,900,444,444,PASS
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,"-90.500000,3059.170000,0.000000;-36.500000,3073.510000,295.000000","-90.500000,3059.170000,0.000000;-36.500000,3073.510000,295.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2325,2325,1110,1110,PASS
