instance,group,part,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,key_elevations,design_role,geometry_status
POWERHOUSE_UNIT_01_I,POWERHOUSE,V15_POWERHOUSE_UNIT_01,-30.000,26.500,-122.000,-95.350,3029.700,3081.000,56.500,26.650,51.300,founding 3029.70; intake 3035.70; turbine 3041.00; top 3081.00,v15 geometry-only rebuilt appurtenance,PRESENT
POWERHOUSE_UNIT_02_I,POWERHOUSE,V15_POWERHOUSE_UNIT_02,-30.000,26.500,-95.350,-68.700,3029.700,3081.000,56.500,26.650,51.300,founding 3029.70; intake 3035.70; turbine 3041.00; top 3081.00,v15 geometry-only rebuilt appurtenance,PRESENT
POWERHOUSE_UNIT_03_I,POWERHOUSE,V15_POWERHOUSE_UNIT_03,-30.000,26.500,-68.700,-42.050,3029.700,3081.000,56.500,26.650,51.300,founding 3029.70; intake 3035.70; turbine 3041.00; top 3081.00,v15 geometry-only rebuilt appurtenance,PRESENT
POWERHOUSE_UNIT_04_I,POWERHOUSE,V15_POWERHOUSE_UNIT_04,-30.000,26.500,-42.050,-15.400,3029.700,3081.000,56.500,26.650,51.300,founding 3029.70; intake 3035.70; turbine 3041.00; top 3081.00,v15 geometry-only rebuilt appurtenance,PRESENT
POWERHOUSE_INSTALLATION_BAY_I,INSTALLATION_BAY,V15_POWERHOUSE_INSTALLATION_BAY,-64.000,-30.000,-122.000,-15.400,3056.465,3079.000,34.000,106.600,22.535,floor plane 3062.00,v15 geometry-only rebuilt appurtenance,PRESENT
TAILWATER_CHANNEL_I,TAILWATER,V15_TAILWATER_CHANNEL,26.500,180.500,-87.000,-15.400,3036.100,3053.000,154.000,71.600,16.900,hydraulic bottom 3036.90 -> 3053.00; lining 0.80,v15 geometry-only rebuilt appurtenance,PRESENT
ECO_RELEASE_01_I,ECO_RELEASE,V15_ECO_RELEASE_01,-35.000,38.000,-15.000,-2.500,3050.000,3077.500,73.000,12.500,27.500,inlet 3058.00; top 3077.50,v15 geometry-only rebuilt appurtenance,PRESENT
ECO_RELEASE_02_I,ECO_RELEASE,V15_ECO_RELEASE_02,-35.000,38.000,-2.500,10.000,3050.000,3077.500,73.000,12.500,27.500,inlet 3058.00; top 3077.50,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_01_I,SPILLWAY,V15_SPILLWAY_BAY_01,-35.000,38.000,20.000,30.000,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_02_I,SPILLWAY,V15_SPILLWAY_BAY_02,-35.000,38.000,33.625,43.625,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_03_I,SPILLWAY,V15_SPILLWAY_BAY_03,-35.000,38.000,47.250,57.250,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_04_I,SPILLWAY,V15_SPILLWAY_BAY_04,-35.000,38.000,60.875,70.875,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_05_I,SPILLWAY,V15_SPILLWAY_BAY_05,-35.000,38.000,74.500,84.500,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_06_I,SPILLWAY,V15_SPILLWAY_BAY_06,-35.000,38.000,88.125,98.125,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_07_I,SPILLWAY,V15_SPILLWAY_BAY_07,-35.000,38.000,101.750,111.750,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_BAY_08_I,SPILLWAY,V15_SPILLWAY_BAY_08,-35.000,38.000,115.375,125.375,3047.500,3079.000,73.000,10.000,31.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_LEFT_WALL_I,SPILLWAY,V15_SPILLWAY_LEFT_WALL,-35.000,145.000,16.000,20.000,3047.500,3065.000,180.000,4.000,17.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_RIGHT_WALL_I,SPILLWAY,V15_SPILLWAY_RIGHT_WALL,-35.000,145.000,129.000,133.000,3047.500,3065.000,180.000,4.000,17.500,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
SPILLWAY_STILLING_BASIN_I,SPILLWAY,V15_SPILLWAY_STILLING_BASIN,38.000,145.000,16.000,133.000,3047.500,3048.300,107.000,117.000,0.800,slab datum 3047.50; slab top 3048.30,v15 geometry-only rebuilt appurtenance,PRESENT
LEFT_BANK_CONTEXT_REUSED,LEFT_BANK_CONTEXT,multiple v14 left-bank instances,-600.000,900.000,-1000.000,150.000,2600.000,3352.400,1500.000,1150.000,752.400,retained v14 excavation/geology context,left-bank context; not overwritten,REUSED
