instance,part,active_v12,active_v14,active_v15,nodes,elements,element_type,x_min,x_max,y_min,y_max,z_min,z_max,material,classification
LEFT_P2_QUARTZ_SANDSTONE_I,LEFT_P2_QUARTZ_SANDSTONE,YES,YES,YES,504,300,C3D8R,-600.0,900.0,-1000.0,-700.0,2600.0,3352.3999,P2_QUARTZITE,REUSE_AS_IS
LEFT_FOUNDATION_GRANITE_I,LEFT_FOUNDATION_GRANITE,YES,YES,YES,1428,960,C3D8R,-600.0,900.0,-700.0,150.0,2600.0,2869.19995,FRESH_GRANITE,REUSE_AS_IS
LEFT_L01_Q4DEL_I,LEFT_L01_Q4DEL,YES,YES,YES,1071,542,C3D8P,-600.0,900.0,-700.0,150.0,3042.15967,3113.6001,Q4DEL,REUSE_AS_IS
LEFT_L03_Q4AL_SGR1_I,LEFT_L03_Q4AL_SGR1,YES,YES,YES,714,294,C3D8P,-600.0,900.0,-700.0,150.0,3036.58643,3091.47632,Q4AL_SGR1,REUSE_AS_IS
LEFT_L05_Q3AL_IV2_I,LEFT_L05_Q3AL_IV2,YES,YES,YES,714,294,C3D8P,-600.0,900.0,-700.0,150.0,3031.85132,3080.69849,Q3AL_IV2,REUSE_AS_IS
LEFT_L06_Q3AL_IV1_I,LEFT_L06_Q3AL_IV1,YES,YES,YES,1071,624,C3D8P,-600.0,900.0,-700.0,150.0,3019.948,3071.54175,Q3AL_IV1,REUSE_AS_IS
LEFT_L07_Q3AL_III_I,LEFT_L07_Q3AL_III,YES,YES,YES,714,320,C3D8P,-600.0,900.0,-700.0,150.0,3010.65918,3048.52271,Q3AL_III,REUSE_AS_IS
LEFT_L08_Q3AL_II_I,LEFT_L08_Q3AL_II,YES,YES,YES,714,320,C3D8P,-600.0,900.0,-700.0,150.0,2998.18481,3035.14453,Q3AL_II,REUSE_AS_IS
LEFT_L09_Q3AL_I_I,LEFT_L09_Q3AL_I,YES,YES,YES,714,320,C3D8P,-600.0,900.0,-700.0,150.0,2989.64014,3018.65747,Q3AL_I,REUSE_AS_IS
LEFT_L10_Q2FGL_V_I,LEFT_L10_Q2FGL_V,YES,YES,YES,1071,640,C3D8P,-600.0,900.0,-700.0,150.0,2965.2832,3008.93213,Q2FGL_V,REUSE_AS_IS
LEFT_L11_Q2FGL_IV_I,LEFT_L11_Q2FGL_IV,YES,YES,YES,1071,640,C3D8P,-600.0,900.0,-700.0,150.0,2935.95898,2993.12183,Q2FGL_IV,REUSE_AS_IS
LEFT_L12_Q2FGL_III_I,LEFT_L12_Q2FGL_III,YES,YES,YES,1071,640,C3D8P,-600.0,900.0,-700.0,150.0,2893.61084,2977.11938,Q2FGL_III,REUSE_AS_IS
LEFT_L13_Q2FGL_II_I,LEFT_L13_Q2FGL_II,YES,YES,YES,1071,640,C3D8P,-600.0,900.0,-700.0,150.0,2862.40552,2954.00952,Q2FGL_II,REUSE_AS_IS
LEFT_L14_Q2FGL_I_I,LEFT_L14_Q2FGL_I,YES,YES,YES,1785,1280,C3D8P,-600.0,900.0,-700.0,150.0,2738.19995,2936.98047,Q2FGL_I,REUSE_AS_IS
RIVER_R02_Q4AL_SGR2_I,RIVER_R02_Q4AL_SGR2,YES,YES,YES,378,160,C3D8P,-600.0,900.0,150.0,445.0,3050.69922,3060.70752,Q4AL_SGR2,REUSE_AS_IS
RIVER_R05_Q3AL_IV2_I,RIVER_R05_Q3AL_IV2,YES,YES,YES,378,160,C3D8P,-600.0,900.0,150.0,445.0,3048.78833,3060.35132,Q3AL_IV2,REUSE_AS_IS
RIVER_R06_Q3AL_IV1_I,RIVER_R06_Q3AL_IV1,YES,YES,YES,567,320,C3D8P,-600.0,900.0,150.0,445.0,3043.98413,3059.8418,Q3AL_IV1,REUSE_AS_IS
RIVER_R07_Q3AL_III_I,RIVER_R07_Q3AL_III,YES,YES,YES,378,160,C3D8P,-600.0,900.0,150.0,445.0,3041.19189,3058.56079,Q3AL_III,REUSE_AS_IS
RIVER_R08_Q3AL_II_I,RIVER_R08_Q3AL_II,YES,YES,YES,378,160,C3D8P,-600.0,900.0,150.0,445.0,3037.75122,3057.81616,Q3AL_II,REUSE_AS_IS
RIVER_R09_Q3AL_I_I,RIVER_R09_Q3AL_I,YES,YES,YES,378,160,C3D8P,-600.0,900.0,150.0,445.0,3035.72144,3056.89844,Q3AL_I,REUSE_AS_IS
RIVER_R10_Q2FGL_V_I,RIVER_R10_Q2FGL_V,YES,YES,YES,567,320,C3D8P,-600.0,900.0,150.0,445.0,3030.39478,3056.35742,Q2FGL_V,REUSE_AS_IS
