instance,part,group,path,master_instance,master_surface,secondary_surface,face_participation,min_gap_m,max_gap_m,mean_gap_m,interpretation,pore_continuity,status
POWERHOUSE_UNIT_01_I,V15_POWERHOUSE_UNIT_01,POWERHOUSE,POWERHOUSE_UNIT_01_I -> LEFT_L06_Q3AL_IV1_I -> BASE_FIX/deep rock (conditional),LEFT_L06_Q3AL_IV1_I,NOT_GENERATED,NOT_GENERATED,24,-0.5646262500004013,-0.5646262500004013,-0.5646262500004013,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
POWERHOUSE_UNIT_02_I,V15_POWERHOUSE_UNIT_02,POWERHOUSE,POWERHOUSE_UNIT_02_I -> LEFT_L06_Q3AL_IV1_I -> BASE_FIX/deep rock (conditional),LEFT_L06_Q3AL_IV1_I,NOT_GENERATED,NOT_GENERATED,4,-1.089887500000259,-1.089887500000259,-1.089887500000259,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
POWERHOUSE_UNIT_03_I,V15_POWERHOUSE_UNIT_03,POWERHOUSE,POWERHOUSE_UNIT_03_I -> LEFT_L06_Q3AL_IV1_I -> BASE_FIX/deep rock (conditional),LEFT_L06_Q3AL_IV1_I,NOT_GENERATED,NOT_GENERATED,24,1.073565208333548,1.073565208333548,1.073565208333548,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
POWERHOUSE_UNIT_04_I,V15_POWERHOUSE_UNIT_04,POWERHOUSE,POWERHOUSE_UNIT_04_I -> LEFT_L06_Q3AL_IV1_I -> BASE_FIX/deep rock (conditional),LEFT_L06_Q3AL_IV1_I,NOT_GENERATED,NOT_GENERATED,4,-1.089887500000259,-1.089887500000259,-1.089887500000259,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
POWERHOUSE_INSTALLATION_BAY_I,V15_POWERHOUSE_INSTALLATION_BAY,INSTALLATION_BAY,POWERHOUSE_INSTALLATION_BAY_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,V15_MASTER_005_SURFACE,V15_BASE_005,6,0.046463333333576884,0.046463333333576884,0.046463333333576884,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),PASS
TAILWATER_CHANNEL_I,V15_TAILWATER_CHANNEL,TAILWATER,TAILWATER_CHANNEL_I -> LEFT_L06_Q3AL_IV1_I -> BASE_FIX/deep rock (conditional),LEFT_L06_Q3AL_IV1_I,NOT_GENERATED,NOT_GENERATED,8,7.932286249999379,15.98228624999956,11.95728624999947,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
ECO_RELEASE_01_I,V15_ECO_RELEASE_01,ECO_RELEASE,ECO_RELEASE_01_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,NOT_GENERATED,NOT_GENERATED,24,-0.8661872916668472,7.133812708333153,0.25881270833315284,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
ECO_RELEASE_02_I,V15_ECO_RELEASE_02,ECO_RELEASE,ECO_RELEASE_02_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,NOT_GENERATED,NOT_GENERATED,2,-0.2402950000000601,7.75970499999994,0.8847049999999399,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
SPILLWAY_BAY_01_I,V15_SPILLWAY_BAY_01,SPILLWAY,SPILLWAY_BAY_01_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,NOT_GENERATED,NOT_GENERATED,24,-3.7202498958336037,-3.7202498958336037,-3.7202498958336037,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
SPILLWAY_BAY_02_I,V15_SPILLWAY_BAY_02,SPILLWAY,SPILLWAY_BAY_02_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,NOT_GENERATED,NOT_GENERATED,24,-3.865330520833595,-3.865330520833595,-3.865330520833595,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
SPILLWAY_BAY_03_I,V15_SPILLWAY_BAY_03,SPILLWAY,SPILLWAY_BAY_03_I -> LEFT_L01_Q4DEL_I -> BASE_FIX/deep rock (conditional),LEFT_L01_Q4DEL_I,NOT_GENERATED,NOT_GENERATED,24,-3.6405407291663323,-3.6405407291663323,-3.6405407291663323,foundation-to-left-bank-geology seating candidate; Tie emitted only for verified near-coincident L01 contact,BLOCKED (concrete-to-porous interface; no hydraulic Tie),UNRESOLVED
